"condition","value"
"R103_PAIN.LOCALIZED.TO.OTHER.PARTS.OF.LOWER.ABDOMEN",285
"S0260_CLOSED.FRACTURE.OF.MANDIBLE",289
"Z032_OBSERVATION.FOR.SUSPECTED.MENTAL.AND.BEHAVIOURAL.DISORDERS",290
"K029_DENTAL.CARIES..UNSPECIFIED",293
"R073_OTHER.CHEST.PAIN",296
"S010_OPEN.WOUND.OF.SCALP",298
"J690_PNEUMONITIS.DUE.TO.FOOD.AND.VOMIT",303
"R568_OTHER.AND.UNSPECIFIED.CONVULSIONS",305
"Z911_PERSONAL.HISTORY.OF.NONCOMPLIANCE.WITH.MEDICAL.TREATMENT.AND.REGIMEN",307
"K298_DUODENITIS",315
"F419_ANXIETY.DISORDER..UNSPECIFIED",319
"Z880_PERSONAL.HISTORY.OF.ALLERGY.TO.PENICILLIN",324
"S5250_CLOSED.FRACTURE.OF.LOWER.END.OF.RADIUS",327
"R31X_UNSPECIFIED.HAEMATURIA",330
"F110_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ACUTE.INTOXICATION.WITH.OPIOIDS",331
"F141_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.COCAINE",332
"T405_POISONING.BY.COCAINE",334
"R33X_RETENTION.OF.URINE",342
"Z503_DRUG.REHABILITATION",343
"J189_PNEUMONIA..UNSPECIFIED",344
"F195_PSYCHOTIC.DISORDER.DUE.TO.MULT.DRUG.PSYCHOACTIVE.SUBSTANCE.USE",345
"F412_MIXED.ANXIETY.AND.DEPRESSIVE.DISORDER",348
"M5499_DORSALGIA..UNSPECIFIED..SITE.UNSPECIFIED.",349
"R05X_COUGH",355
"R092_RESPIRATORY.ARREST",356
"R402_COMA..UNSPECIFIED",358
"E872_ACIDOSIS",362
"AMOXICILLIN_CAP.500MG",365
"BUSCOPAN_TAB.10MG",366
"CERAZETTE_TAB.75MCG",368
"CHLORPHENAMINE.MAL_TAB.4MG",372
"CIPROFLOXACIN_TAB.500MG",373
"CLARITHROMYCIN_TAB.250MG",374
"DERMOL.500_LOT",376
"DICLOFENAC.SOD_GEL.1.16.",379
"ERYTHROMYCIN_TAB.E.C.250MG",383
"FUSIDIC.ACID_CRM.2.",389
"HYOSCINE.BUTYLBROM_TAB.10MG",392
"MICROPORE.2.5CM.X.5M.SURG.ADH.TAPE.PERM.NON.WOV.SYN",400
"MIGRALEVE.COMPLETE_TAB",401
"NASEPTIN_CRM",406
"OMEPRAZOLE_CAP.E.C.10MG",409
"OMEPRAZOLE_CAP.E.C.20MG",410
"OMEPRAZOLE_CAP.E.C.40MG",411
"ORLISTAT_CAP.120MG",412
"PIROXICAM_GEL.0.5.",416
"TERBINAFINE.HCL_CRM.1.",421
"TRIMOVATE_CRM",424
"CYCLIZINE.HCL_TAB.50MG",427
"NEUTROGENA_T.GEL.THERAPEUTIC.SHAMPOO.2.",429
"BECLOMET.DIPROP_NSL.SPY.50MCG..200.D.",432
"BUCCASTEM_TAB.3MG",433
"CO.DYDRAMOL_TAB.10MG.500MG",435
"NAPROXEN_TAB.500MG",438
"SOD.CROMOGLICATE_EYE.DPS.AQ.2.",440
"TRIMETHOPRIM_TAB.200MG",441
"ATARAX_TAB.25MG",443
"CO.CODAMOL_TAB.15MG.500MG",445
"DAKTACORT_CRM.2..1.",447
"BENZYDAMINE.HCL_SPY.0.15..30ML.S.F",453
"FLUCLOX.SOD_CAP.250MG",456
"SAVLON_ANTIS.CRM",462
"TYROZETS_LOZ",466
"BONJELA_GEL.8.7..S.F",468
"CO.CODAMOL_TAB.8MG.500MG",469
"LORATADINE_TAB.10MG",477
"PAROXETINE.HCL_TAB.20MG",478
"PROPRANOLOL.HCL_TAB.40MG",479
"FUCITHALMIC_VISCOUS.EYE.DPS.1.",487
"SUDOCREM_ANTIS.HEALING.CRM",490
"ZOVIRAX_COLD.SORE.CRM.5.",494
"DERBAC.M_LIQ.0.5.",496
"MIRTAZAPINE_ORODISPER.TAB.15MG",499
"PROCTOSEDYL_OINT",509
"AVEENO_CRM",511
"BENZYDAMINE.HCL_MTHWSH.0.15..S.F",512
"BETNOVATE_SCALP.APPLIC.0.1.",513
"FUCIDIN.H_CRM",518
"IBUPROFEN_GEL.10.",521
"NICORETTE.INVISI_PATCH.25MG.16HRS",524
"THIAMINE.HCL_TAB.50MG",526
"METRONIDAZOLE_TAB.200MG",531
"ANHYDROL.FTE_A.PERS.SOLN.20.",536
"CLARITHROMYCIN_TAB.500MG",540
"FOLIC.ACID_TAB.400MCG",541
"NAPROXEN_TAB.E.C.500MG",546
"NITRAZEPAM_TAB.5MG",549
"PROCHLPZINE.MAL_TAB.BUCCAL.3MG",551
"SUMATRIPTAN_TAB.50MG",556
"IBUPROFEN_TAB.200MG",563
"OTOMIZE_EAR.SPY.5ML",567
"QUININE.SULF_TAB.200MG",568
"TRANSVASIN_HEAT.RUB",570
"DIAZEPAM_TAB.10MG",577
"GABAPENTIN_CAP.400MG",581
"ERYTHROMYCIN_CAP.E.C.250MG",595
"DIPROBASE_CRM",596
"NAPROXEN_TAB.250MG",597
"FORCEVAL_CAP",599
"EPADERM.OINT",601
"PERMETHRIN_CRM.5.",604
"SUDAFED_DECONGEST.TAB.60MG",605
"ANUSOL.HC_OINT",618
"ANUSOL_CRM",619
"BETNOVATE_CRM.0.1.",622
"OPTICROM_ALLERGY.EYE.DPS.2.",625
"VOLTAROL.EMULGEL_AQ.GEL.1.16.",628
"ANBESOL_LIQ",630
"GLYCERYL.TRINIT_A.SPY.400MCG.200D.CFF",635
"PARACET_TAB.SOLB.500MG",640
"METHOCARBAMOL_TAB.750MG",643
"NAPROXEN_TAB.E.C.250MG",644
"BETAMETH.VAL_CRM.0.1.",647
"GLYCEROL_SUPPOS.ADULT.S..4G.",652
"HYDROCORT_CRM.0.5.",653
"SERETIDE.125_EVOHALER.125MCG.25MCG.120D.",655
"SERETIDE.250_EVOHALER.250MCG.25MCG.120D.",656
"BUSPIRONE.HCL_TAB.5MG",661
"DERMOL.200_SHOWER.EMOLLIENT",663
"GAVISCON.ADVANCE_TAB.CHBLE.500MG.MINT",665
"CO.CODAMOL.EFF_TAB.30MG.500MG",666
"IBUPROFEN_GEL.5.",669
"SIMVASTATIN_TAB.20MG",675
"T...R.SOD.BICARB.EAR.DPS.5..EAR.WAX.SOFTENING.MED.DEV.10ML",678
"VENTOLIN_ACCUHALER.200MCG..60.D.",679
"FYBOGEL_GRAN.SACH.3.5G.ORANGE.G.F.S.F",681
"GENTISONE.HC_EAR.DPS",682
"PHOLCODINE_LINCT.5MG.5ML",683
"CAPASAL_THERAPEUTIC.SHAMPOO",685
"CO.CODAMOL_CAP.8MG.500MG",692
"NITROFURANTOIN_TAB.50MG",696
"FEXOFENADINE.HCL_TAB.180MG",697
"LORAZEPAM_TAB.1MG",698
"MAG.SULF_PASTE",699
"ESCITALOPRAM_TAB.10MG",705
"LOFEXIDINE.HCL_TAB.0.2MG",707
"DAKTARIN_CRM.2.",709
"OXYTETRACYCLINE_TAB.250MG",714
"BENDROFLUMETHIAZIDE_TAB.2.5MG",716
"ARIPIPRAZOLE_TAB.10MG",718
"RANITIDINE.HCL_TAB.75MG",724
"NICORETTE_INHALATOR...INH.CART.15MG",725
"MACRODANTIN_CAP.50MG",727
"VENLALIC.XL_TAB.75MG",736
"MST.CONTINUS_TAB.60MG",738
"CANESTEN_THRUSH.CRM.2.",739
"LOFEPRAMINE.HCL_TAB.70MG",740
"CANESTEN_CRM.1.",746
"BISACODYL_TAB.E.C.5MG",747
"FRAGMIN_INJ.25.000U.ML.0.6ML.PFS",749
