"subsystem","nb_of_factors","factor_rank","factor","degree","betweenness"
"106",5,3,"GAVISCON_LIQ.RELIEF.PEPPERMINT",2,0
"106",5,4,"CO.AMOXICLAV_TAB.500MG.125MG",1,0
"106",5,5,"GAVISCON.ADVANCE_LIQ..PEPPERMINT..S.F",1,0
"104",5,1,"MST.CONTINUS_TAB.10MG",3,0
"104",5,2,"MST.CONTINUS_TAB.30MG",2,0
"104",5,3,"LAXIDO_ORAL.PDR.SACH..ORANGE..S.F",1,0
"104",5,4,"ORAMORPH_ORAL.SOLN.10MG.5ML",1,0
"104",5,5,"SEVREDOL_TAB.10MG",1,0
"100",5,1,"DISULFIRAM_TAB.200MG",3,0
"100",5,2,"ACAMPROSATE.CALC_TAB.E.C.333MG",2,0
"100",5,3,"ANTABUSE_TAB.200MG",1,0
"100",5,4,"CHLORDIAZEPOX.HCL_CAP.5MG",1,0
"100",5,5,"CAMPRAL.EC_TAB.333MG",1,0
"96",5,1,"TRAMADOL.HCL_CAP.50MG",2,0
"96",5,2,"PROCHLPZINE.MAL_TAB.5MG",2,0
"96",5,3,"REMEDEINE.FTE_TAB",2,0
"96",5,4,"TRAMADOL.HCL_CAP.100MG.M.R",1,0
"96",5,5,"PARACET.DIHYDROCODEINE_TAB.500MG.30MG",1,0
"85",5,1,"CHLORHEX.GLUCON_MTHWSH..MINT..0.2.",2,0
"85",5,2,"CHLORHEX.GLUCON_MTHWSH.0.2.",2,0
"85",5,3,"PEPTAC_LIQ..ANISEED..S.F",2,0
"85",5,4,"PEPTAC_LIQ..PEPPERMINT..S.F",1,0
"85",5,5,"ACICLOVIR_CRM.5.",1,0
"76",5,1,"W279_CONTACT.WITH.NONPOWERED.HAND.TOOL.IN.UNSPECIFIED.PLACE",2,0
"76",5,2,"M7986_OTHER.SPECIFIED.SOFT.TISSUE.DISORDERS..LOWER.LEG.",2,0
"76",5,3,"DIPROBASE_CRM",2,0
"76",5,4,"L031_CELLULITIS.OF.OTHER.PARTS.OF.LIMB",1,0
"76",5,5,"CLOBET.BUT_CRM.0.05.",1,0
"117",4,1,"LYRICA_CAP.150MG",2,0
"117",4,2,"PREGABALIN_CAP.150MG",2,0
"117",4,3,"LYRICA_CAP.75MG",2,0
"117",4,4,"PREGABALIN_CAP.75MG",2,0
"117",4,5,NA,NA,NA
"99",4,1,"THIAMINE.HCL_TAB.100MG",2,0
"99",4,2,"VIT.B.CO.STRONG_TAB",2,0
"99",4,3,"CHLORDIAZEPOX.HCL_CAP.10MG",2,0
"99",4,4,"CHLORDIAZEPOX.HCL_TAB.10MG",2,0
"99",4,5,NA,NA,NA
"84",4,1,"CANESTEN_COMBI.PESS.500MG.CRM.2.",2,0
"84",4,2,"CLOTRIMAZOLE_PESS.500MG",2,0
"84",4,3,"CLOTRIMAZOLE_CRM.1.",1,0
"84",4,4,"CANESTEN_ORAL.CRM.DUO.1.CAP.150MG.CRM2..",1,0
"84",4,5,NA,NA,NA
"70",4,1,"GABAPENTIN_CAP.100MG",2,0
"70",4,2,"GABAPENTIN_CAP.300MG",2,0
"70",4,3,"Y838_ABNORMAL.REACTION.TO.OR.LATER.COMPLICATION.OF.OTHER.SURGICAL.PROCEDURES",1,0
"70",4,4,"GABAPENTIN_TAB.600MG",1,0
"70",4,5,NA,NA,NA
"39",4,1,"I802_PHLEBITIS.AND.THROMBOPHLEBITIS.OF.OTHER.DEEP.VESSELS.OF.LOWER.EXTREMITIES",3,0
"39",4,2,"dvt_mc",1,0
"39",4,3,"L022_CUTANEOUS.ABSCESS..FURUNCLE.AND.CARBUNCLE.OF.TRUNK",1,0
"39",4,4,"Z867_PERSONAL.HISTORY.OF.DISEASES.OF.THE.CIRCULATORY.SYSTEM",1,0
"39",4,5,NA,NA,NA
"110",3,1,"CALAMINE.AQ_CRM",2,0
"110",3,2,"CO.AMOXICLAV_TAB.250MG.125MG",1,0
"110",3,3,"PROPRANOLOL.HCL_CAP.80MG.M.R",1,0
"110",3,4,NA,NA,NA
"110",3,5,NA,NA,NA
"109",3,1,"QUETIAPINE_TAB.100MG",2,0
"109",3,2,"QUETIAPINE_TAB.25MG",1,0
"109",3,3,"QUETIAPINE_TAB.300MG",1,0
"109",3,4,NA,NA,NA
"109",3,5,NA,NA,NA
"105",3,1,"TRAZODONE.HCL_CAP.100MG",2,0
"105",3,2,"TRAZODONE.HCL_CAP.50MG",1,0
"105",3,3,"TRAZODONE.HCL_TAB.150MG",1,0
"105",3,4,NA,NA,NA
"105",3,5,NA,NA,NA
"102",3,1,"METHADONE.HCL_MIX.1MG.1ML",2,0
"102",3,2,"METHADONE.HCL_MIX.1MG.1ML.S.F",1,0
"102",3,3,"METHADONE.HCL_ORAL.SOLN.1MG.1ML.S.F",1,0
"102",3,4,NA,NA,NA
"102",3,5,NA,NA,NA
"101",3,1,"LANSOPRAZOLE_CAP.30MG..E.C.GRAN.",2,0
"101",3,2,"ATARAX_TAB.25MG",1,0
"101",3,3,"LANSOPRAZOLE_CAP.15MG..E.C.GRAN.",1,0
"101",3,4,NA,NA,NA
"101",3,5,NA,NA,NA
"88",3,1,"PARACET_TAB.500MG",2,0
"88",3,2,"IBUPROFEN_TAB.400MG",1,0
"88",3,3,"PARACET_CAP.500MG",1,0
"88",3,4,NA,NA,NA
"88",3,5,NA,NA,NA
"79",3,1,"X789_INTENT.SELF.HARM.BY.SHARP.OBJECT.IN.UNSPECIFIED.PLACE",2,0
"79",3,2,"S619_OPEN.WOUND.OF.WRIST.AND.HAND..PART.UNSPECIFIED",1,0
"79",3,3,"Z915_PERSONAL.HISTORY.OF.SELF.HARM",1,0
"79",3,4,NA,NA,NA
"79",3,5,NA,NA,NA
"78",3,1,"S099_UNSPECIFIED.INJURY.OF.HEAD",2,0
"78",3,2,"X599_EXPOSURE.TO.UNSPECIFIED.FACTOR.IN.UNSPECIFIED.PLACE",1,0
"78",3,3,"Z043_EXAMINATION.AND.OBSERVATION.FOLLOWING.OTHER.ACCIDENT",1,0
"78",3,4,NA,NA,NA
"78",3,5,NA,NA,NA
"69",3,1,"R101_PAIN.LOCALIZED.TO.UPPER.ABDOMEN",2,0
"69",3,2,"R104_OTHER.AND.UNSPECIFIED.ABDOMINAL.PAIN",1,0
"69",3,3,"R11X_NAUSEA.AND.VOMITING",1,0
"69",3,4,NA,NA,NA
"69",3,5,NA,NA,NA
"49",3,1,"TEMAZEPAM_TAB.20MG",2,0
"49",3,2,"temazepam_op",1,0
"49",3,3,"TEMAZEPAM_TAB.10MG",1,0
"49",3,4,NA,NA,NA
"49",3,5,NA,NA,NA
"47",3,1,"DIAZEPAM_TAB.5MG",2,0
"47",3,2,"diazepam_op",1,0
"47",3,3,"DIAZEPAM_TAB.2MG",1,0
"47",3,4,NA,NA,NA
"47",3,5,NA,NA,NA
"45",3,1,"amitriptyline_td",2,0
"45",3,2,"amitriptyline_op",1,0
"45",3,3,"nortriptyline_td",1,0
"45",3,4,NA,NA,NA
"45",3,5,NA,NA,NA
"121",2,1,"LYRICA_CAP.50MG",1,0
"121",2,2,"PREGABALIN_CAP.50MG",1,0
"121",2,3,NA,NA,NA
"121",2,4,NA,NA,NA
"121",2,5,NA,NA,NA
"120",2,1,"FERR.FUMAR_TAB.210MG",1,0
"120",2,2,"FERR.SULF_TAB.200MG",1,0
"120",2,3,NA,NA,NA
"120",2,4,NA,NA,NA
"120",2,5,NA,NA,NA
"119",2,1,"DHC.CONTINUS_TAB.60MG",1,0
"119",2,2,"DIHYDROCODEINE.TART_TAB.60MG.M.R",1,0
"119",2,3,NA,NA,NA
"119",2,4,NA,NA,NA
"119",2,5,NA,NA,NA
"118",2,1,"LYRICA_CAP.300MG",1,0
"118",2,2,"PREGABALIN_CAP.300MG",1,0
"118",2,3,NA,NA,NA
"118",2,4,NA,NA,NA
"118",2,5,NA,NA,NA
"116",2,1,"CYMBALTA_CAP.G.R.60MG",1,0
"116",2,2,"DULOXETINE.HCL_CAP.G.R.60MG",1,0
"116",2,3,NA,NA,NA
"116",2,4,NA,NA,NA
"116",2,5,NA,NA,NA
"115",2,1,"SIMPLE_LINCT",1,0
"115",2,2,"MENTHOL_.S.",1,0
"115",2,3,NA,NA,NA
"115",2,4,NA,NA,NA
"115",2,5,NA,NA,NA
"113",2,1,"FUROSEMIDE_TAB.20MG",1,0
"113",2,2,"FUROSEMIDE_TAB.40MG",1,0
"113",2,3,NA,NA,NA
"113",2,4,NA,NA,NA
"113",2,5,NA,NA,NA
"112",2,1,"AIROMIR_AUTOHALER.100MCG..200.D..CFF",1,0
"112",2,2,"SALAMOL.E.BREATHE_INH.100MCG..200.D..CFF",1,0
"112",2,3,NA,NA,NA
"112",2,4,NA,NA,NA
"112",2,5,NA,NA,NA
"111",2,1,"ZOLPIDEM.TART_TAB.10MG",1,0
"111",2,2,"ZOLPIDEM.TART_TAB.5MG",1,0
"111",2,3,NA,NA,NA
"111",2,4,NA,NA,NA
"111",2,5,NA,NA,NA
"108",2,1,"DIORALYTE_PDR.SACH..BLKCURRANT.",1,0
"108",2,2,"IBUPROFEN_TAB.600MG",1,0
"108",2,3,NA,NA,NA
"108",2,4,NA,NA,NA
"108",2,5,NA,NA,NA
"107",2,1,"SUBOXONE_TAB.SUBLING.2MG.0.5MG",1,0
"107",2,2,"SUBOXONE_TAB.SUBLING.8MG.2MG",1,0
"107",2,3,NA,NA,NA
"107",2,4,NA,NA,NA
"107",2,5,NA,NA,NA
"103",2,1,"LACTULOSE_SOLN.3.1G.3.7G.5ML",1,0
"103",2,2,"SENNA_TAB.7.5MG",1,0
"103",2,3,NA,NA,NA
"103",2,4,NA,NA,NA
"103",2,5,NA,NA,NA
"98",2,1,"ZOPICLONE_TAB.7.5MG",1,0
"98",2,2,"ZOPICLONE_TAB.3.75MG",1,0
"98",2,3,NA,NA,NA
"98",2,4,NA,NA,NA
"98",2,5,NA,NA,NA
"97",2,1,"TRANEXAMIC.ACID_TAB.500MG",1,0
"97",2,2,"MEFENAMIC.ACID_TAB.500MG",1,0
"97",2,3,NA,NA,NA
"97",2,4,NA,NA,NA
"97",2,5,NA,NA,NA
"95",2,1,"SERTRALINE.HCL_TAB.100MG",1,0
"95",2,2,"SERTRALINE.HCL_TAB.50MG",1,0
"95",2,3,NA,NA,NA
"95",2,4,NA,NA,NA
"95",2,5,NA,NA,NA
"93",2,1,"PHENERGAN_TAB.25MG",1,0
"93",2,2,"PROMETHAZINE.HCL_TAB.25MG",1,0
"93",2,3,NA,NA,NA
"93",2,4,NA,NA,NA
"93",2,5,NA,NA,NA
"92",2,1,"ORLISTAT_CAP.120MG",1,0
"92",2,2,"TRIMETHOPRIM_TAB.200MG",1,0
"92",2,3,NA,NA,NA
"92",2,4,NA,NA,NA
"92",2,5,NA,NA,NA
"90",2,1,"MICROPORE.2.5CM.X.5M.SURG.ADH.TAPE.PERM.NON.WOV.SYN",1,0
"90",2,2,"SAVLON_ANTIS.CRM",1,0
"90",2,3,NA,NA,NA
"90",2,4,NA,NA,NA
"90",2,5,NA,NA,NA
"89",2,1,"LYCLEAR_DERMAL.CRM.5.",1,0
"89",2,2,"CO.CODAMOL_TAB.30MG.500MG",1,0
"89",2,3,NA,NA,NA
"89",2,4,NA,NA,NA
"89",2,5,NA,NA,NA
"87",2,1,"FLUCLOX.SOD_CAP.500MG",1,0
"87",2,2,"PHENOXYMETHYLPENICILLIN.POT_TAB.250MG",1,0
"87",2,3,NA,NA,NA
"87",2,4,NA,NA,NA
"87",2,5,NA,NA,NA
"86",2,1,"CLARITHROMYCIN_TAB.250MG",1,0
"86",2,2,"TERBINAFINE.HCL_CRM.1.",1,0
"86",2,3,NA,NA,NA
"86",2,4,NA,NA,NA
"86",2,5,NA,NA,NA
"83",2,1,"AMITRIPTYLINE.HCL_TAB.25MG",1,0
"83",2,2,"AMITRIPTYLINE.HCL_TAB.50MG",1,0
"83",2,3,NA,NA,NA
"83",2,4,NA,NA,NA
"83",2,5,NA,NA,NA
"81",2,1,"S010_OPEN.WOUND.OF.SCALP",1,0
"81",2,2,"S610_OPEN.WOUND.OF.FINGER.S..WITHOUT.DAMAGE.TO.NAIL",1,0
"81",2,3,NA,NA,NA
"81",2,4,NA,NA,NA
"81",2,5,NA,NA,NA
"80",2,1,"T509_POISONING.BY.OTHER...UNSPEC.DRUGS..MEDICAMENTS.AND.BIOLOGICAL.SUBSTANCES",1,0
"80",2,2,"X649_SELF.POISON.BY.OTHER.UNSPEC.DRUGS.MEDIC..BIOL.SUBS.IN.UNSPECIFIED.PLACE",1,0
"80",2,3,NA,NA,NA
"80",2,4,NA,NA,NA
"80",2,5,NA,NA,NA
"74",2,1,"F102_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ALCOHOL.DEPENDENCE.SYNDROME",1,0
"74",2,2,"Z502_ALCOHOL.REHABILITATION",1,0
"74",2,3,NA,NA,NA
"74",2,4,NA,NA,NA
"74",2,5,NA,NA,NA
"72",2,1,"F103_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.WITHDRAWAL.OF.ALCOHOL",1,0
"72",2,2,"F100_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ACUTE.INTOXICATION.WITH.ALCOHOL",1,0
"72",2,3,NA,NA,NA
"72",2,4,NA,NA,NA
"72",2,5,NA,NA,NA
"68",2,1,"oxazepam_td",1,0
"68",2,2,"temazepam_td",1,0
"68",2,3,NA,NA,NA
"68",2,4,NA,NA,NA
"68",2,5,NA,NA,NA
"67",2,1,"other_nps_td",1,0
"67",2,2,"CIPROFLOXACIN_TAB.500MG",1,0
"67",2,3,NA,NA,NA
"67",2,4,NA,NA,NA
"67",2,5,NA,NA,NA
"65",2,1,"lignocaine_td",1,0
"65",2,2,"I469_CARDIAC.ARREST..UNSPECIFIED",1,0
"65",2,3,NA,NA,NA
"65",2,4,NA,NA,NA
"65",2,5,NA,NA,NA
"62",2,1,"ecstasy_mdma_td",1,0
"62",2,2,"other_illicit_drug_td",1,0
"62",2,3,NA,NA,NA
"62",2,4,NA,NA,NA
"62",2,5,NA,NA,NA
"48",2,1,"fluoxetine_op",1,0
"48",2,2,"fluoxetine_td",1,0
"48",2,3,NA,NA,NA
"48",2,4,NA,NA,NA
"48",2,5,NA,NA,NA
"42",2,1,"liver_disease_mc",1,0
"42",2,2,"K709_ALCOHOLIC.LIVER.DISEASE..UNSPECIFIED",1,0
"42",2,3,NA,NA,NA
"42",2,4,NA,NA,NA
"42",2,5,NA,NA,NA
"41",2,1,"hepatitis_c_mc",1,0
"41",2,2,"Z225_CARRIER.OF.VIRAL.HEPATITIS",1,0
"41",2,3,NA,NA,NA
"41",2,4,NA,NA,NA
"41",2,5,NA,NA,NA
"40",2,1,"epilepsy_seizures_mc",1,0
"40",2,2,"G409_EPILEPSY..UNSPECIFIED",1,0
"40",2,3,NA,NA,NA
"40",2,4,NA,NA,NA
"40",2,5,NA,NA,NA
"18",2,1,"methadone_cp",1,0
"18",2,2,"methadone_td",1,0
"18",2,3,NA,NA,NA
"18",2,4,NA,NA,NA
"18",2,5,NA,NA,NA
"11",2,1,"hospital_inpatient_treatment_cha",1,0
"11",2,2,"hospital_outpatient_treatment_cha",1,0
"11",2,3,NA,NA,NA
"11",2,4,NA,NA,NA
"11",2,5,NA,NA,NA
"10",2,1,"harm_reduction_team_cha",1,0
"10",2,2,"needle_exchange_cha",1,0
"10",2,3,NA,NA,NA
"10",2,4,NA,NA,NA
"10",2,5,NA,NA,NA
"6",2,1,"alcohol_use_problem",1,0
"6",2,2,"community_based_psychosocial_therapy_aa",1,0
"6",2,3,NA,NA,NA
"6",2,4,NA,NA,NA
"6",2,5,NA,NA,NA
"2",2,1,"lossofchildcustody_rse",1,0
"2",2,2,"childcustodyissues_rse",1,0
"2",2,3,NA,NA,NA
"2",2,4,NA,NA,NA
"2",2,5,NA,NA,NA
"139",1,1,"QUETIAPINE_TAB.200MG",0,0
"139",1,2,NA,NA,NA
"139",1,3,NA,NA,NA
"139",1,4,NA,NA,NA
"139",1,5,NA,NA,NA
"138",1,1,"EPADERM.OINT",0,0
"138",1,2,NA,NA,NA
"138",1,3,NA,NA,NA
"138",1,4,NA,NA,NA
"138",1,5,NA,NA,NA
"137",1,1,"CYCLIZINE.HCL_TAB.50MG",0,0
"137",1,2,NA,NA,NA
"137",1,3,NA,NA,NA
"137",1,4,NA,NA,NA
"137",1,5,NA,NA,NA
"136",1,1,"IBUPROFEN_TAB.200MG",0,0
"136",1,2,NA,NA,NA
"136",1,3,NA,NA,NA
"136",1,4,NA,NA,NA
"136",1,5,NA,NA,NA
"135",1,1,"NITRAZEPAM_TAB.5MG",0,0
"135",1,2,NA,NA,NA
"135",1,3,NA,NA,NA
"135",1,4,NA,NA,NA
"135",1,5,NA,NA,NA
"134",1,1,"paracetamol_td",0,0
"134",1,2,NA,NA,NA
"134",1,3,NA,NA,NA
"134",1,4,NA,NA,NA
"134",1,5,NA,NA,NA
"133",1,1,"own_home_pdu",0,0
"133",1,2,NA,NA,NA
"133",1,3,NA,NA,NA
"133",1,4,NA,NA,NA
"133",1,5,NA,NA,NA
"132",1,1,"stomach_problems_gastritis_mc",0,0
"132",1,2,NA,NA,NA
"132",1,3,NA,NA,NA
"132",1,4,NA,NA,NA
"132",1,5,NA,NA,NA
"131",1,1,"cocaine_td",0,0
"131",1,2,NA,NA,NA
"131",1,3,NA,NA,NA
"131",1,4,NA,NA,NA
"131",1,5,NA,NA,NA
"130",1,1,"ecstasy_mdma_idu",0,0
"130",1,2,NA,NA,NA
"130",1,3,NA,NA,NA
"130",1,4,NA,NA,NA
"130",1,5,NA,NA,NA
"129",1,1,"mirtazapine_td",0,0
"129",1,2,NA,NA,NA
"129",1,3,NA,NA,NA
"129",1,4,NA,NA,NA
"129",1,5,NA,NA,NA
"128",1,1,"smoking_edu",0,0
"128",1,2,NA,NA,NA
"128",1,3,NA,NA,NA
"128",1,4,NA,NA,NA
"128",1,5,NA,NA,NA
"127",1,1,"alcohol_td",0,0
"127",1,2,NA,NA,NA
"127",1,3,NA,NA,NA
"127",1,4,NA,NA,NA
"127",1,5,NA,NA,NA
"126",1,1,"social_work_chnd",0,0
"126",1,2,NA,NA,NA
"126",1,3,NA,NA,NA
"126",1,4,NA,NA,NA
"126",1,5,NA,NA,NA
"125",1,1,"self_help_individual_and_group_based_aa",0,0
"125",1,2,NA,NA,NA
"125",1,3,NA,NA,NA
"125",1,4,NA,NA,NA
"125",1,5,NA,NA,NA
"124",1,1,"pharmacotherapy_and_community_based_detoxification_aa",0,0
"124",1,2,NA,NA,NA
"124",1,3,NA,NA,NA
"124",1,4,NA,NA,NA
"124",1,5,NA,NA,NA
"123",1,1,"vitamin_supplements_aa",0,0
"123",1,2,NA,NA,NA
"123",1,3,NA,NA,NA
"123",1,4,NA,NA,NA
"123",1,5,NA,NA,NA
"122",1,1,"gp_cha",0,0
"122",1,2,NA,NA,NA
"122",1,3,NA,NA,NA
"122",1,4,NA,NA,NA
"122",1,5,NA,NA,NA
"114",1,1,"RANITIDINE.HCL_TAB.150MG",0,0
"114",1,2,NA,NA,NA
"114",1,3,NA,NA,NA
"114",1,4,NA,NA,NA
"114",1,5,NA,NA,NA
"94",1,1,"PIROXICAM_GEL.0.5.",0,0
"94",1,2,NA,NA,NA
"94",1,3,NA,NA,NA
"94",1,4,NA,NA,NA
"94",1,5,NA,NA,NA
"82",1,1,"R51X_HEADACHE",0,0
"82",1,2,NA,NA,NA
"82",1,3,NA,NA,NA
"82",1,4,NA,NA,NA
"82",1,5,NA,NA,NA
"75",1,1,"F1122_OPIOIDS.DEPENDENCE.SYNDR.CONTROLLED.DEPENDENCE",0,0
"75",1,2,NA,NA,NA
"75",1,3,NA,NA,NA
"75",1,4,NA,NA,NA
"75",1,5,NA,NA,NA
"66",1,1,"nordiazepam_td",0,0
"66",1,2,NA,NA,NA
"66",1,3,NA,NA,NA
"66",1,4,NA,NA,NA
"66",1,5,NA,NA,NA
"64",1,1,"heroin_morphine_td",0,0
"64",1,2,NA,NA,NA
"64",1,3,NA,NA,NA
"64",1,4,NA,NA,NA
"64",1,5,NA,NA,NA
"63",1,1,"etizolam_td",0,0
"63",1,2,NA,NA,NA
"63",1,3,NA,NA,NA
"63",1,4,NA,NA,NA
"63",1,5,NA,NA,NA
"61",1,1,"diazepam_td",0,0
"61",1,2,NA,NA,NA
"61",1,3,NA,NA,NA
"61",1,4,NA,NA,NA
"61",1,5,NA,NA,NA
"60",1,1,"codeine_td",0,0
"60",1,2,NA,NA,NA
"60",1,3,NA,NA,NA
"60",1,4,NA,NA,NA
"60",1,5,NA,NA,NA
"59",1,1,"buprenorphine_td",0,0
"59",1,2,NA,NA,NA
"59",1,3,NA,NA,NA
"59",1,4,NA,NA,NA
"59",1,5,NA,NA,NA
"58",1,1,"amphetamines_td",0,0
"58",1,2,NA,NA,NA
"58",1,3,NA,NA,NA
"58",1,4,NA,NA,NA
"58",1,5,NA,NA,NA
"57",1,1,"alprazolam_td",0,0
"57",1,2,NA,NA,NA
"57",1,3,NA,NA,NA
"57",1,4,NA,NA,NA
"57",1,5,NA,NA,NA
"56",1,1,"outdoors_pdu",0,0
"56",1,2,NA,NA,NA
"56",1,3,NA,NA,NA
"56",1,4,NA,NA,NA
"56",1,5,NA,NA,NA
"55",1,1,"others_home_pdu",0,0
"55",1,2,NA,NA,NA
"55",1,3,NA,NA,NA
"55",1,4,NA,NA,NA
"55",1,5,NA,NA,NA
"53",1,1,"no_known_psychiatric_conditions_pc",0,0
"53",1,2,NA,NA,NA
"53",1,3,NA,NA,NA
"53",1,4,NA,NA,NA
"53",1,5,NA,NA,NA
"52",1,1,"depression_low_mood_pc",0,0
"52",1,2,NA,NA,NA
"52",1,3,NA,NA,NA
"52",1,4,NA,NA,NA
"52",1,5,NA,NA,NA
"51",1,1,"anxiety_pc",0,0
"51",1,2,NA,NA,NA
"51",1,3,NA,NA,NA
"51",1,4,NA,NA,NA
"51",1,5,NA,NA,NA
"50",1,1,"a_dhd_add_pc",0,0
"50",1,2,NA,NA,NA
"50",1,3,NA,NA,NA
"50",1,4,NA,NA,NA
"50",1,5,NA,NA,NA
"43",1,1,"no_known_medical_conditions_mc",0,0
"43",1,2,NA,NA,NA
"43",1,3,NA,NA,NA
"43",1,4,NA,NA,NA
"43",1,5,NA,NA,NA
"37",1,1,"chronic_pain_mc",0,0
"37",1,2,NA,NA,NA
"37",1,3,NA,NA,NA
"37",1,4,NA,NA,NA
"37",1,5,NA,NA,NA
"36",1,1,"cardiac_condition_mc",0,0
"36",1,2,NA,NA,NA
"36",1,3,NA,NA,NA
"36",1,4,NA,NA,NA
"36",1,5,NA,NA,NA
"35",1,1,"back_pain_injury_mc",0,0
"35",1,2,NA,NA,NA
"35",1,3,NA,NA,NA
"35",1,4,NA,NA,NA
"35",1,5,NA,NA,NA
"34",1,1,"no_fixed_abode_lw",0,0
"34",1,2,NA,NA,NA
"34",1,3,NA,NA,NA
"34",1,4,NA,NA,NA
"34",1,5,NA,NA,NA
"32",1,1,"methadone_non_prescribed_idu",0,0
"32",1,2,NA,NA,NA
"32",1,3,NA,NA,NA
"32",1,4,NA,NA,NA
"32",1,5,NA,NA,NA
"31",1,1,"heroin_idu",0,0
"31",1,2,NA,NA,NA
"31",1,3,NA,NA,NA
"31",1,4,NA,NA,NA
"31",1,5,NA,NA,NA
"30",1,1,"diazepam_non_prescribed_idu",0,0
"30",1,2,NA,NA,NA
"30",1,3,NA,NA,NA
"30",1,4,NA,NA,NA
"30",1,5,NA,NA,NA
"29",1,1,"crack_cocaine_idu",0,0
"29",1,2,NA,NA,NA
"29",1,3,NA,NA,NA
"29",1,4,NA,NA,NA
"29",1,5,NA,NA,NA
"28",1,1,"cocaine_idu",0,0
"28",1,2,NA,NA,NA
"28",1,3,NA,NA,NA
"28",1,4,NA,NA,NA
"28",1,5,NA,NA,NA
"27",1,1,"unemployed_es",0,0
"27",1,2,NA,NA,NA
"27",1,3,NA,NA,NA
"27",1,4,NA,NA,NA
"27",1,5,NA,NA,NA
