"condition","value"
"CO.DYDRAMOL_TAB.10MG.500MG",248
"DOXYCYCLINE.HYCLATE_CAP.100MG",249
"NAPROXEN_TAB.500MG",250
"PROCHLPZINE.MAL_TAB.5MG",251
"TRIMETHOPRIM_TAB.200MG",252
"ACAMPROSATE.CALC_TAB.E.C.333MG",253
"CO.CODAMOL_CAP.30MG.500MG",254
"CO.CODAMOL_TAB.30MG.500MG",255
"DAKTACORT_CRM.2..1.",256
"PARACET_CAP.500MG",258
"BENZYDAMINE.HCL_SPY.0.15..30ML.S.F",260
"FLUCLOX.SOD_CAP.250MG",263
"LACTULOSE_SOLN.3.1G.3.7G.5ML",264
"MEPORE.7CM.X.8CM.PFA...ADH.BORDER.DRESS",265
"SENNA_TAB.7.5MG",266
"TRAZODONE.HCL_CAP.50MG",268
"AMITRIPTYLINE.HCL_TAB.10MG",269
"CO.CODAMOL_TAB.8MG.500MG",270
"DIFFLAM_P.SPY.0.15..30ML",271
"KETOCONAZOLE_SHAMPOO.2.",272
"LORATADINE_TAB.10MG",275
"PROPRANOLOL.HCL_TAB.40MG",276
"SIMVASTATIN_TAB.40MG",278
"CO.AMOXICLAV_TAB.500MG.125MG",279
"VARENICLINE.TART_TAB.1MG",280
"DOMPERIDONE_TAB.10MG",281
"E45_CRM",282
"SUDOCREM_ANTIS.HEALING.CRM",285
"MIRTAZAPINE_ORODISPER.TAB.45MG",288
"ZOPICLONE_TAB.3.75MG",291
"CANESTEN.HC_CRM",292
"CHLORDIAZEPOX.HCL_CAP.10MG",293
"CO.AMOXICLAV_TAB.250MG.125MG",294
"HYDROCORT_CRM.1.",296
"LANSOPRAZOLE_CAP.30MG..E.C.GRAN.",297
"ZOLPIDEM.TART_TAB.10MG",298
"PHENOXYMETHYLPENICILLIN.POT_TAB.250MG",299
"AMOXICILLIN_CAP.250MG",300
"ASPIRIN.DISPER_TAB.75MG",301
"CLARITHROMYCIN_TAB.500MG",302
"METOCLOPRAMIDE.HCL_TAB.10MG",303
"NICORETTE_INHALATOR...INH.CART.10MG",304
"IBUPROFEN_TAB.200MG",312
"LAXIDO_ORAL.PDR.SACH..ORANGE..S.F",313
"RANITIDINE.HCL_TAB.150MG",314
"CODEINE.PHOS_TAB.30MG",316
"DIAZEPAM_TAB.10MG",317
"DHC.CONTINUS_TAB.60MG",324
"FUROSEMIDE_TAB.40MG",325
"DIPROBASE_CRM",326
"NAPROXEN_TAB.250MG",327
"CHLORPROMAZINE.HCL_TAB.25MG",328
"TEMAZEPAM_TAB.10MG",333
"DISULFIRAM_TAB.200MG",335
"PROPRANOLOL.HCL_CAP.80MG.M.R",337
"MOMETASONE.FUR_AQ.N.SPY.50MCG..140.D.",338
"AEROCHAMBER.PLUS",339
"CHLORAMPHEN_EYE.OINT.1.",340
"IBUPROFEN_GEL.5.",342
"METHADONE.HCL_ORAL.SOLN.1MG.1ML.S.F",344
"TEMAZEPAM_TAB.20MG",345
"OXYTETRACYCLINE_TAB.250MG",346
"PREDNISOLONE_TAB.E.C.5MG",347
