"condition","value"
"W109_FALL.ON.AND.FROM.STAIRS.AND.STEPS.IN.UNSPECIFIED.PLACE",229
"X419_ACC.POISON.EXPOS.TO.ANTIEPILEP.ANTIPARK.PSYCHOTROP.DRUG.IN.UNSPEC.PLACE",231
"F192_MENTAL.BEHAV.DISORDERS.DUE.TO.DEPNDENT.USE.OF.MULT.DRUGS.PSYCHOACT.SUBS",238
"F171_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.TOBACCO",241
"J969_RESPIRATORY.FAILURE..UNSPECIFIED",243
"S008_SUPERFICIAL.INJURY.OF.OTHER.PARTS.OF.HEAD",244
"Z538_PROCEDURE.NOT.CARRIED.OUT.FOR.OTHER.REASONS",245
"Z720_TOBACCO.USE",246
"N390_URINARY.TRACT.INFECTION..SITE.NOT.SPECIFIED",247
"R103_PAIN.LOCALIZED.TO.OTHER.PARTS.OF.LOWER.ABDOMEN",248
"Z864_PERSONAL.HISTORY.OF.PSYCHOACTIVE.SUBSTANCE.ABUSE",249
"Z032_OBSERVATION.FOR.SUSPECTED.MENTAL.AND.BEHAVIOURAL.DISORDERS",251
"Z871_PERSONAL.HISTORY.OF.DISEASES.OF.THE.DIGESTIVE.SYSTEM",252
"K590_CONSTIPATION",253
"K029_DENTAL.CARIES..UNSPECIFIED",254
"L024_CUTANEOUS.ABSCESS..FURUNCLE.AND.CARBUNCLE.OF.LIMB",255
"R073_OTHER.CHEST.PAIN",256
"F131_MENTAL.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.SEDATIVES.OR.HYPNOTICS",259
"J181_LOBAR.PNEUMONIA..UNSPECIFIED",261
"J690_PNEUMONITIS.DUE.TO.FOOD.AND.VOMIT",262
"R568_OTHER.AND.UNSPECIFIED.CONVULSIONS",264
"Z865_PERSONAL.HISTORY.OF.OTHER.MENTAL.AND.BEHAVIOURAL.DISORDERS",265
"Z911_PERSONAL.HISTORY.OF.NONCOMPLIANCE.WITH.MEDICAL.TREATMENT.AND.REGIMEN",266
"K529_NONINFECTIVE.GASTROENTERITIS.AND.COLITIS..UNSPECIFIED",269
"Y831_ABN.REACT.TO.LATER.COMPLIC.OF.OP.WITH.IMPLANT.OF.ARTIFICIAL.INTERN.DEVICE",271
"Z721_ALCOHOL.USE",272
"K449_DIAPHRAGMATIC.HERNIA.WITHOUT.OBSTRUCTION.OR.GANGRENE",273
"F419_ANXIETY.DISORDER..UNSPECIFIED",275
"Z880_PERSONAL.HISTORY.OF.ALLERGY.TO.PENICILLIN",278
"F110_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ACUTE.INTOXICATION.WITH.OPIOIDS",281
"F141_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.COCAINE",282
"BUSCOPAN_TAB.10MG",293
"CERAZETTE_TAB.75MCG",295
"CETIRIZINE.HCL_TAB.10MG",296
"CHLORAMPHEN_EYE.DPS.0.5.",297
"CHLORPHENAMINE.MAL_TAB.4MG",299
"DERMOL.500_LOT",303
"DICLOFENAC.SOD_TAB.E.C.50MG",306
"DIHYDROCODEINE.TART_TAB.30MG",307
"ERYTHROMYCIN_TAB.E.C.250MG",308
"FLUCONAZOLE_CAP.150MG",310
"FLUCONAZOLE_CAP.50MG",311
"FUCIDIN_CRM.20MG.G",313
"FUSIDIC.ACID_CRM.2.",314
"HYOSCINE.BUTYLBROM_TAB.10MG",317
"LOPERAMIDE.HCL_CAP.2MG",319
"MEPORE.10CM.X.11CM.PFA...ADH.BORDER.DRESS",321
"METRONIDAZOLE_TAB.400MG",323
"NYSTATIN_ORAL.SUSP.100.000U.ML",328
"OMEPRAZOLE_CAP.E.C.10MG",329
"OMEPRAZOLE_CAP.E.C.20MG",330
"OMEPRAZOLE_CAP.E.C.40MG",331
"TRIMOVATE_CRM",344
"AQ_CRM",346
"NEUTROGENA_T.GEL.THERAPEUTIC.SHAMPOO.2.",348
"BECLOMET.DIPROP_NSL.SPY.50MCG..200.D.",351
"BUCCASTEM_TAB.3MG",352
"CO.DYDRAMOL_TAB.10MG.500MG",354
"DAKTARIN_OROMUCOSAL.GEL.20MG.G.S.F",355
"DOXYCYCLINE.HYCLATE_CAP.100MG",356
"NAPROXEN_TAB.500MG",357
"SOD.CROMOGLICATE_EYE.DPS.AQ.2.",359
"CO.CODAMOL_CAP.30MG.500MG",363
"CO.CODAMOL_TAB.15MG.500MG",364
"DAKTACORT_CRM.2..1.",366
"POLYTAR_LIQ",369
"BENZYDAMINE.HCL_SPY.0.15..30ML.S.F",371
"FLUCLOX.SOD_CAP.250MG",374
"MEPORE.7CM.X.8CM.PFA...ADH.BORDER.DRESS",376
"SIMPLE_LINCT.S.F",381
"TYROZETS_LOZ",383
"BONJELA_GEL.8.7..S.F",385
"CO.CODAMOL_TAB.8MG.500MG",386
"DIFFLAM_P.SPY.0.15..30ML",387
"HEDRIN_LOT.4.",388
"KETOCONAZOLE_SHAMPOO.2.",389
"ALMOND.OIL_LIQ",391
"FOLIC.ACID_TAB.5MG",392
"LORATADINE_TAB.10MG",393
"PAROXETINE.HCL_TAB.20MG",394
"PROPRANOLOL.HCL_TAB.40MG",395
"DOMPERIDONE_TAB.10MG",399
"E45_CRM",400
"SUDOCREM_ANTIS.HEALING.CRM",403
"TERBINAFINE.HCL_TAB.250MG",404
"CERUMOL_EAR.DPS",406
"EUMOVATE_CRM.0.05.",408
"PHOLCODINE_LINCT.5MG.5ML.S.F",412
"PROPRANOLOL.HCL_TAB.10MG",413
"CANESTEN.HC_CRM",417
"FUCIDIN.H_CRM",421
"HYDROCORT_CRM.1.",422
"THIAMINE.HCL_TAB.50MG",425
"AMOXICILLIN_CAP.250MG",431
"CLARITHROMYCIN_TAB.500MG",435
"FORTISIP.BOTTLE_LIQ..8.FLAV.",436
"METOCLOPRAMIDE.HCL_TAB.10MG",439
"NICORETTE_INHALATOR...INH.CART.10MG",440
"NICOTINELL.TTS.30_PATCH.21MG.24HRS",441
"PROCHLPZINE.MAL_TAB.BUCCAL.3MG",444
"MEBEVERINE.HCL_TAB.135MG",457
"OTOMIZE_EAR.SPY.5ML",458
"QUININE.SULF_TAB.200MG",459
"TRANSVASIN_HEAT.RUB",461
"CODEINE.PHOS_TAB.30MG",465
"DIAZEPAM_TAB.10MG",467
"CLENIL.MODULITE_INHA.200MCG..200D.",475
"NIQUITIN_PATCH.21MG.24HRS..STEP.1.",480
"NAPROXEN_TAB.250MG",482
"FORCEVAL_CAP",483
"FUCIBET_CRM",486
"HALF.INDERAL.LA_CAP.80MG",487
"SUDAFED_DECONGEST.TAB.60MG",488
"ANUSOL_CRM",498
"BACLOFEN_TAB.10MG",500
"VOLTAROL.EMULGEL_AQ.GEL.1.16.",505
"VENTOLIN_EVOHALER.100MCG..200.D.",506
"NIQUITIN.CLR_PATCH.21MG.24HRS.STEP.1.",507
"PARACET_TAB.SOLB.500MG",508
"METHOCARBAMOL_TAB.750MG",510
"NAPROXEN_TAB.E.C.250MG",511
"BETAMETH.VAL_CRM.0.1.",513
"CHLORAMPHEN_EYE.OINT.1.",514
"DOUBLEBASE_GEL",516
"MOVICOL.PLAIN_PDR.SACH.13.7G",517
"SERETIDE.250_EVOHALER.250MCG.25MCG.120D.",518
"BUSPIRONE.HCL_TAB.5MG",522
"PSEUDOEPHED.HCL_TAB.60MG",523
"IBUPROFEN_GEL.5.",524
"XYLOMET.HCL_NSL.SPY.0.1..10ML",526
"NEFOPAM.HCL_TAB.30MG",529
"SILDENAFIL_TAB.50MG",530
"LORAZEPAM_TAB.1MG",533
"MICROGYNON.30_TAB",537
"OXYTETRACYCLINE_TAB.250MG",540
"CEFALEXIN_CAP.250MG",541
"CEFALEXIN_CAP.500MG",544
"PREDNISOLONE_TAB.E.C.5MG",546
"HYPROMELLOSE_EYE.DPS.0.3.",548
"VOLUMATIC",550
"ACUPAN_TAB.30MG",551
"BISACODYL_TAB.E.C.5MG",552
