"subsystem","nb_of_factors","factor_rank","factor","degree","betweenness"
"35",3,1,"R11X_NAUSEA.AND.VOMITING",2,0
"35",3,2,"R104_OTHER.AND.UNSPECIFIED.ABDOMINAL.PAIN",1,0
"35",3,3,"CYCLIZINE.HCL_TAB.50MG",1,0
"35",3,4,NA,NA,NA
"35",3,5,NA,NA,NA
"28",3,1,"schizophrenia_pc",2,0
"28",3,2,"anti_psychotics_td",1,0
"28",3,3,"F209_SCHIZOPHRENIA..UNSPECIFIED",1,0
"28",3,4,NA,NA,NA
"28",3,5,NA,NA,NA
"18",3,1,"I802_PHLEBITIS.AND.THROMBOPHLEBITIS.OF.OTHER.DEEP.VESSELS.OF.LOWER.EXTREMITIES",2,0
"18",3,2,"dvt_mc",1,0
"18",3,3,"L031_CELLULITIS.OF.OTHER.PARTS.OF.LIMB",1,0
"18",3,4,NA,NA,NA
"18",3,5,NA,NA,NA
"17",3,1,"pregabalin_op",2,0
"17",3,2,"chronic_pain_mc",1,0
"17",3,3,"pregabalin_td",1,0
"17",3,4,NA,NA,NA
"17",3,5,NA,NA,NA
"67",2,1,"OLANZAPINE_TAB.5MG",1,0
"67",2,2,"OLANZAPINE_TAB.10MG",1,0
"67",2,3,NA,NA,NA
"67",2,4,NA,NA,NA
"67",2,5,NA,NA,NA
"66",2,1,"LYRICA_CAP.75MG",1,0
"66",2,2,"PREGABALIN_CAP.75MG",1,0
"66",2,3,NA,NA,NA
"66",2,4,NA,NA,NA
"66",2,5,NA,NA,NA
"65",2,1,"VENLAFAXINE_CAP.150MG.M.R",1,0
"65",2,2,"VENLAFAXINE_CAP.75MG.M.R",1,0
"65",2,3,NA,NA,NA
"65",2,4,NA,NA,NA
"65",2,5,NA,NA,NA
"64",2,1,"LYRICA_CAP.300MG",1,0
"64",2,2,"PREGABALIN_CAP.300MG",1,0
"64",2,3,NA,NA,NA
"64",2,4,NA,NA,NA
"64",2,5,NA,NA,NA
"63",2,1,"LYRICA_CAP.150MG",1,0
"63",2,2,"PREGABALIN_CAP.150MG",1,0
"63",2,3,NA,NA,NA
"63",2,4,NA,NA,NA
"63",2,5,NA,NA,NA
"62",2,1,"TRAZODONE.HCL_CAP.100MG",1,0
"62",2,2,"TRAZODONE.HCL_TAB.150MG",1,0
"62",2,3,NA,NA,NA
"62",2,4,NA,NA,NA
"62",2,5,NA,NA,NA
"61",2,1,"TIOTROPIUM_PDR.FOR.INH.CAP.18MCG...DEV",1,0
"61",2,2,"TIOTROPIUM_PDR.FOR.INH.CAP.18MCG",1,0
"61",2,3,NA,NA,NA
"61",2,4,NA,NA,NA
"61",2,5,NA,NA,NA
"60",2,1,"QUETIAPINE_TAB.25MG",1,0
"60",2,2,"QUETIAPINE_TAB.100MG",1,0
"60",2,3,NA,NA,NA
"60",2,4,NA,NA,NA
"60",2,5,NA,NA,NA
"59",2,1,"GAVISCON.ADVANCE_LIQ..ANISEED..S.F",1,0
"59",2,2,"GAVISCON.ADVANCE_LIQ..PEPPERMINT..S.F",1,0
"59",2,3,NA,NA,NA
"59",2,4,NA,NA,NA
"59",2,5,NA,NA,NA
"58",2,1,"SUBOXONE_TAB.SUBLING.2MG.0.5MG",1,0
"58",2,2,"SUBOXONE_TAB.SUBLING.8MG.2MG",1,0
"58",2,3,NA,NA,NA
"58",2,4,NA,NA,NA
"58",2,5,NA,NA,NA
"57",2,1,"FOLIC.ACID_TAB.5MG",1,0
"57",2,2,"PROCHLPZINE.MAL_TAB.BUCCAL.3MG",1,0
"57",2,3,NA,NA,NA
"57",2,4,NA,NA,NA
"57",2,5,NA,NA,NA
"56",2,1,"SIMPLE_LINCT.S.F",1,0
"56",2,2,"SIMPLE_LINCT",1,0
"56",2,3,NA,NA,NA
"56",2,4,NA,NA,NA
"56",2,5,NA,NA,NA
"55",2,1,"METHADONE.HCL_MIX.1MG.1ML",1,0
"55",2,2,"METHADONE.HCL_MIX.1MG.1ML.S.F",1,0
"55",2,3,NA,NA,NA
"55",2,4,NA,NA,NA
"55",2,5,NA,NA,NA
"53",2,1,"THIAMINE.HCL_TAB.100MG",1,0
"53",2,2,"VIT.B.CO.STRONG_TAB",1,0
"53",2,3,NA,NA,NA
"53",2,4,NA,NA,NA
"53",2,5,NA,NA,NA
"52",2,1,"ZOPICLONE_TAB.7.5MG",1,0
"52",2,2,"ENSURE.PLUS_MILKSHAKE.STYLE.LIQ.10.FLAV.",1,0
"52",2,3,NA,NA,NA
"52",2,4,NA,NA,NA
"52",2,5,NA,NA,NA
"51",2,1,"SERTRALINE.HCL_TAB.100MG",1,0
"51",2,2,"SERTRALINE.HCL_TAB.50MG",1,0
"51",2,3,NA,NA,NA
"51",2,4,NA,NA,NA
"51",2,5,NA,NA,NA
"49",2,1,"PHENERGAN_TAB.25MG",1,0
"49",2,2,"PROMETHAZINE.HCL_TAB.25MG",1,0
"49",2,3,NA,NA,NA
"49",2,4,NA,NA,NA
"49",2,5,NA,NA,NA
"48",2,1,"PEPTAC_LIQ..PEPPERMINT..S.F",1,0
"48",2,2,"PEPTAC_LIQ..ANISEED..S.F",1,0
"48",2,3,NA,NA,NA
"48",2,4,NA,NA,NA
"48",2,5,NA,NA,NA
"46",2,1,"LOPERAMIDE.HCL_CAP.2MG",1,0
"46",2,2,"DIORALYTE_PDR.SACH..BLKCURRANT.",1,0
"46",2,3,NA,NA,NA
"46",2,4,NA,NA,NA
"46",2,5,NA,NA,NA
"45",2,1,"FUSIDIC.ACID_CRM.2.",1,0
"45",2,2,"FUCIDIN.H_CRM",1,0
"45",2,3,NA,NA,NA
"45",2,4,NA,NA,NA
"45",2,5,NA,NA,NA
"44",2,1,"CETIRIZINE.HCL_TAB.10MG",1,0
"44",2,2,"ACICLOVIR_CRM.5.",1,0
"44",2,3,NA,NA,NA
"44",2,4,NA,NA,NA
"44",2,5,NA,NA,NA
"43",2,1,"T509_POISONING.BY.OTHER...UNSPEC.DRUGS..MEDICAMENTS.AND.BIOLOGICAL.SUBSTANCES",1,0
"43",2,2,"X649_SELF.POISON.BY.OTHER.UNSPEC.DRUGS.MEDIC..BIOL.SUBS.IN.UNSPECIFIED.PLACE",1,0
"43",2,3,NA,NA,NA
"43",2,4,NA,NA,NA
"43",2,5,NA,NA,NA
"40",2,1,"J22X_UNSPECIFIED.ACUTE.LOWER.RESPIRATORY.INFECTION",1,0
"40",2,2,"J459_ASTHMA..UNSPECIFIED",1,0
"40",2,3,NA,NA,NA
"40",2,4,NA,NA,NA
"40",2,5,NA,NA,NA
"39",2,1,"F102_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ALCOHOL.DEPENDENCE.SYNDROME",1,0
"39",2,2,"Z502_ALCOHOL.REHABILITATION",1,0
"39",2,3,NA,NA,NA
"39",2,4,NA,NA,NA
"39",2,5,NA,NA,NA
"37",2,1,"F112_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.DEPENDENT.USE.OF.OPIOIDS",1,0
"37",2,2,"X610_INTENT.SELF.POISONING.BY.ANTIEPILEP.ANTIPARKISM..PSYCHOTROP.DRUG.AT.HOME",1,0
"37",2,3,NA,NA,NA
"37",2,4,NA,NA,NA
"37",2,5,NA,NA,NA
"36",2,1,"F111_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.OPIOIDS",1,0
"36",2,2,"NITRAZEPAM_TAB.5MG",1,0
"36",2,3,NA,NA,NA
"36",2,4,NA,NA,NA
"36",2,5,NA,NA,NA
"34",2,1,"tramadol_td",1,0
"34",2,2,"TRAMADOL.HCL_CAP.50MG",1,0
"34",2,3,NA,NA,NA
"34",2,4,NA,NA,NA
"34",2,5,NA,NA,NA
"33",2,1,"oxazepam_td",1,0
"33",2,2,"temazepam_td",1,0
"33",2,3,NA,NA,NA
"33",2,4,NA,NA,NA
"33",2,5,NA,NA,NA
"31",2,1,"fluoxetine_td",1,0
"31",2,2,"FLUOXETINE.HCL_CAP.20MG",1,0
"31",2,3,NA,NA,NA
"31",2,4,NA,NA,NA
"31",2,5,NA,NA,NA
"30",2,1,"ecstasy_mdma_td",1,0
"30",2,2,"other_illicit_drug_td",1,0
"30",2,3,NA,NA,NA
"30",2,4,NA,NA,NA
"30",2,5,NA,NA,NA
"29",2,1,"diazepam_td",1,0
"29",2,2,"nordiazepam_td",1,0
"29",2,3,NA,NA,NA
"29",2,4,NA,NA,NA
"29",2,5,NA,NA,NA
"23",2,1,"mirtazapine_op",1,0
"23",2,2,"mirtazapine_td",1,0
"23",2,3,NA,NA,NA
"23",2,4,NA,NA,NA
"23",2,5,NA,NA,NA
"22",2,1,"dihydrocodeine_op",1,0
"22",2,2,"dihydrocodeine_td",1,0
"22",2,3,NA,NA,NA
"22",2,4,NA,NA,NA
"22",2,5,NA,NA,NA
"13",2,1,"crack_cocaine_idu",1,0
"13",2,2,"cocaine_td",1,0
"13",2,3,NA,NA,NA
"13",2,4,NA,NA,NA
"13",2,5,NA,NA,NA
"12",2,1,"amphetamines_idu",1,0
"12",2,2,"ecstasy_mdma_idu",1,0
"12",2,3,NA,NA,NA
"12",2,4,NA,NA,NA
"12",2,5,NA,NA,NA
"5",2,1,"methadone_cp",1,0
"5",2,2,"methadone_td",1,0
"5",2,3,NA,NA,NA
"5",2,4,NA,NA,NA
"5",2,5,NA,NA,NA
"1",2,1,"lossofchildcustody_rse",1,0
"1",2,2,"childcustodyissues_rse",1,0
"1",2,3,NA,NA,NA
"1",2,4,NA,NA,NA
"1",2,5,NA,NA,NA
"78",1,1,"X620_INTENT.SELF.POISONING.BY.EXPOSURE.TO.NARCOTICS.PSYCHODYSLEPTICS.AT.HOME",0,0
"78",1,2,NA,NA,NA
"78",1,3,NA,NA,NA
"78",1,4,NA,NA,NA
"78",1,5,NA,NA,NA
"77",1,1,"etizolam_td",0,0
"77",1,2,NA,NA,NA
"77",1,3,NA,NA,NA
"77",1,4,NA,NA,NA
"77",1,5,NA,NA,NA
"76",1,1,"stomach_problems_gastritis_mc",0,0
"76",1,2,NA,NA,NA
"76",1,3,NA,NA,NA
"76",1,4,NA,NA,NA
"76",1,5,NA,NA,NA
"75",1,1,"respiratory_condition_including_copd_mc",0,0
"75",1,2,NA,NA,NA
"75",1,3,NA,NA,NA
"75",1,4,NA,NA,NA
"75",1,5,NA,NA,NA
"74",1,1,"unemployed_es",0,0
"74",1,2,NA,NA,NA
"74",1,3,NA,NA,NA
"74",1,4,NA,NA,NA
"74",1,5,NA,NA,NA
"73",1,1,"snorting_edu",0,0
"73",1,2,NA,NA,NA
"73",1,3,NA,NA,NA
"73",1,4,NA,NA,NA
"73",1,5,NA,NA,NA
"72",1,1,"smoking_edu",0,0
"72",1,2,NA,NA,NA
"72",1,3,NA,NA,NA
"72",1,4,NA,NA,NA
"72",1,5,NA,NA,NA
"71",1,1,"buprenorphine_td",0,0
"71",1,2,NA,NA,NA
"71",1,3,NA,NA,NA
"71",1,4,NA,NA,NA
"71",1,5,NA,NA,NA
"70",1,1,"social_work_chnd",0,0
"70",1,2,NA,NA,NA
"70",1,3,NA,NA,NA
"70",1,4,NA,NA,NA
"70",1,5,NA,NA,NA
"69",1,1,"cannabis_idu",0,0
"69",1,2,NA,NA,NA
"69",1,3,NA,NA,NA
"69",1,4,NA,NA,NA
"69",1,5,NA,NA,NA
"68",1,1,"vitamin_supplements_aa",0,0
"68",1,2,NA,NA,NA
"68",1,3,NA,NA,NA
"68",1,4,NA,NA,NA
"68",1,5,NA,NA,NA
"32",1,1,"heroin_morphine_td",0,0
"32",1,2,NA,NA,NA
"32",1,3,NA,NA,NA
"32",1,4,NA,NA,NA
"32",1,5,NA,NA,NA
"27",1,1,"no_known_psychiatric_conditions_pc",0,0
"27",1,2,NA,NA,NA
"27",1,3,NA,NA,NA
"27",1,4,NA,NA,NA
"27",1,5,NA,NA,NA
"26",1,1,"depression_low_mood_pc",0,0
"26",1,2,NA,NA,NA
"26",1,3,NA,NA,NA
"26",1,4,NA,NA,NA
"26",1,5,NA,NA,NA
"25",1,1,"bi_polar_disorder_pc",0,0
"25",1,2,NA,NA,NA
"25",1,3,NA,NA,NA
"25",1,4,NA,NA,NA
"25",1,5,NA,NA,NA
"24",1,1,"anxiety_pc",0,0
"24",1,2,NA,NA,NA
"24",1,3,NA,NA,NA
"24",1,4,NA,NA,NA
"24",1,5,NA,NA,NA
"20",1,1,"no_known_medical_conditions_mc",0,0
"20",1,2,NA,NA,NA
"20",1,3,NA,NA,NA
"20",1,4,NA,NA,NA
"20",1,5,NA,NA,NA
"19",1,1,"epilepsy_seizures_mc",0,0
"19",1,2,NA,NA,NA
"19",1,3,NA,NA,NA
"19",1,4,NA,NA,NA
"19",1,5,NA,NA,NA
"16",1,1,"back_pain_injury_mc",0,0
"16",1,2,NA,NA,NA
"16",1,3,NA,NA,NA
"16",1,4,NA,NA,NA
"16",1,5,NA,NA,NA
"11",1,1,"long_term_sick_disabled_es",0,0
"11",1,2,NA,NA,NA
"11",1,3,NA,NA,NA
"11",1,4,NA,NA,NA
"11",1,5,NA,NA,NA
"10",1,1,"employed_paid_unpaid_es",0,0
"10",1,2,NA,NA,NA
"10",1,3,NA,NA,NA
"10",1,4,NA,NA,NA
"10",1,5,NA,NA,NA
"9",1,1,"oral_consumption_edu",0,0
"9",1,2,NA,NA,NA
"9",1,3,NA,NA,NA
"9",1,4,NA,NA,NA
"9",1,5,NA,NA,NA
"8",1,1,"no_evidence_of_drug_taking_or_alcohol_consumption_edu",0,0
"8",1,2,NA,NA,NA
"8",1,3,NA,NA,NA
"8",1,4,NA,NA,NA
"8",1,5,NA,NA,NA
"7",1,1,"injecting_edu",0,0
"7",1,2,NA,NA,NA
"7",1,3,NA,NA,NA
"7",1,4,NA,NA,NA
"7",1,5,NA,NA,NA
"6",1,1,"not_currently_prescribed_a_substitute_drug_cp",0,0
"6",1,2,NA,NA,NA
"6",1,3,NA,NA,NA
"6",1,4,NA,NA,NA
"6",1,5,NA,NA,NA
"4",1,1,"no_known_contact_chnd",0,0
"4",1,2,NA,NA,NA
"4",1,3,NA,NA,NA
"4",1,4,NA,NA,NA
"4",1,5,NA,NA,NA
"3",1,1,"mental_health_services_chnd",0,0
"3",1,2,NA,NA,NA
"3",1,3,NA,NA,NA
"3",1,4,NA,NA,NA
"3",1,5,NA,NA,NA
