"","rowname","vertex","community","degree","in_degree","out_degree","closeness","betweeness","avg_path_length","density"
"21","Treatment expectations",49,2,4,2,2,0.00338983050847458,0.00284579037800687,4.36713206683452,0.0235640648011782
"22","Retention in services",55,2,6,5,1,0.0034965034965035,0.0594987948644521,4.36713206683452,0.0235640648011782
"23","Attending services",59,2,9,8,1,0.00371747211895911,0.0144489274804996,4.36713206683452,0.0235640648011782
"24","Hoops to get helpCriteria/bureaucracy",60,2,3,2,1,0.0032258064516129,0,4.36713206683452,0.0235640648011782
"25","Accessibility of services ",61,2,3,1,2,0.00278551532033426,0.000107388316151203,4.36713206683452,0.0235640648011782
"26","Ease/difficulty of transitionsbetween services ",89,2,2,1,1,0.00265957446808511,0.0019299640675285,4.36713206683452,0.0235640648011782
"27","Missed appointments",95,2,5,4,1,0.00332225913621262,0.00854559571537664,4.36713206683452,0.0235640648011782
"28","Policy making environment: health focussed vs criminal justice",5,3,11,3,8,0.00395256916996047,0.093757968894889,4.36713206683452,0.0235640648011782
"29","Relative value of professional versus peer evidence",10,3,3,2,1,0.0034965034965035,0.0729737273632248,4.36713206683452,0.0235640648011782
"30","International evidence",11,3,1,0,1,0.00286532951289398,0,4.36713206683452,0.0235640648011782
"31","Lived experience representation in policy",12,3,3,0,3,0.0032258064516129,0,4.36713206683452,0.0235640648011782
"32","Harm reductioninterventions",32,3,4,2,2,0.00364963503649635,0.00394370806741941,4.36713206683452,0.0235640648011782
"33","ADP funding",56,3,3,1,2,0.00321543408360129,0.00166451890034364,4.36713206683452,0.0235640648011782
"34","Availability of services",57,3,5,3,2,0.00343642611683849,0.00642182130584192,4.36713206683452,0.0235640648011782
"35","Criminalisationof drugs",6,4,12,1,11,0.00423728813559322,0.0282963099329079,4.36713206683452,0.0235640648011782
"36","Contact with criminaljustice system",8,4,9,4,5,0.00404858299595142,0.0423442358042873,4.36713206683452,0.0235640648011782
"37","Poverty",13,4,14,3,11,0.0043859649122807,0.033713794796269,4.36713206683452,0.0235640648011782
"38","Social Security Policy",14,4,2,0,2,0.00320512820512821,0,4.36713206683452,0.0235640648011782
"39","Employment opportunities",15,4,3,1,2,0.0036101083032491,0.00139604810996564,4.36713206683452,0.0235640648011782
"40","Positive future aspirations",23,4,11,9,2,0.00436681222707424,0.0261190544373534,4.36713206683452,0.0235640648011782
"41","Quality of life",27,4,3,2,1,0.00347222222222222,0.00185244845360825,4.36713206683452,0.0235640648011782
"42","Traumatising experiences",28,4,6,4,2,0.00392156862745098,0.0221040950744559,4.36713206683452,0.0235640648011782
"43","Mental health and wellbeing",29,4,17,11,6,0.00458715596330275,0.0939250600010909,4.36713206683452,0.0235640648011782
"44","Exploitation ",33,4,2,1,1,0.00325732899022801,0.0038659793814433,4.36713206683452,0.0235640648011782
"45","Availability of drugs",35,4,7,4,3,0.00364963503649635,0.0128129602356406,4.36713206683452,0.0235640648011782
"46","Cost of drugs",36,4,3,2,1,0.00315457413249211,0,4.36713206683452,0.0235640648011782
"47","Profit in illicit drugs trade",38,4,3,2,1,0.00338983050847458,0.0021539027982327,4.36713206683452,0.0235640648011782
"48","Social inclusion",39,4,5,3,2,0.00367647058823529,0.022220432416953,4.36713206683452,0.0235640648011782
"49","Poly drug use",78,4,5,4,1,0.00384615384615385,0.00785289846179021,4.36713206683452,0.0235640648011782
"50","Organised crime groups",92,4,2,1,1,0.00314465408805031,0.00354381443298969,4.36713206683452,0.0235640648011782
"51","Trusting community relationships",17,5,12,4,8,0.00432900432900433,0.0335051546391753,4.36713206683452,0.0235640648011782
"52","Trusting family relationships",24,5,7,2,5,0.00390625,0.0527593683521519,4.36713206683452,0.0235640648011782
"53","Community hubs",43,5,1,0,1,0.00305810397553517,0,4.36713206683452,0.0235640648011782
"54","Recovery cafes",44,5,1,0,1,0.00305810397553517,0,4.36713206683452,0.0235640648011782
"55","Warm spaces",45,5,1,0,1,0.00305810397553517,0,4.36713206683452,0.0235640648011782
"56","Inclusive community activities",46,5,1,0,1,0.00305810397553517,0,4.36713206683452,0.0235640648011782
"57","Recovery capital",74,5,5,4,1,0.00344827586206897,0.0235113933889707,4.36713206683452,0.0235640648011782
"58","Practical support",85,5,3,2,1,0.00326797385620915,0,4.36713206683452,0.0235640648011782
"59","Knowledge of drugs and risk among people who use drugs",18,6,6,3,3,0.00387596899224806,0.0164362931598756,4.36713206683452,0.0235640648011782
"60","Initiation of drug use",30,6,8,4,4,0.00380228136882129,0.0707975372279496,4.36713206683452,0.0235640648011782
"61","Control and regularityof substance use",31,6,10,4,6,0.00398406374501992,0.113160480758741,4.36713206683452,0.0235640648011782
"62","Drug use as coping mechanism",42,6,4,3,1,0.00340136054421769,0.0362399770904926,4.36713206683452,0.0235640648011782
"63","Continueduse of drugs",48,6,7,4,3,0.00346020761245675,0.0647615468008509,4.36713206683452,0.0235640648011782
"64","Physical health",50,6,8,2,6,0.00313479623824451,0.0198668384879725,4.36713206683452,0.0235640648011782
"65","Age",51,6,4,0,4,0.00311526479750779,0,4.36713206683452,0.0235640648011782
"66","Medication",52,6,3,2,1,0.00341296928327645,0.0157325587737959,4.36713206683452,0.0235640648011782
"67","Pain",53,6,2,1,1,0.00269541778975741,0,4.36713206683452,0.0235640648011782
"68","Drug use as functionalto person's life, e.g. self-medication",54,6,3,1,2,0.00321543408360129,0.0230312142038946,4.36713206683452,0.0235640648011782
"69","Drug tolerance",69,6,4,2,2,0.00306748466257669,0.0310708490154366,4.36713206683452,0.0235640648011782
"70","Dependence on drugs ",72,6,2,1,1,0.00265957446808511,0.0174930453280969,4.36713206683452,0.0235640648011782
"71","Drug use forpleasure/recreation",73,6,3,2,1,0.003125,0.0152949087710686,4.36713206683452,0.0235640648011782
"72","Attitude to risk",75,6,6,4,2,0.0033112582781457,0.0102422884961545,4.36713206683452,0.0235640648011782
"73","Risk of harm occurring while using drugs",77,6,5,4,1,0.00341296928327645,0.00251032973326788,4.36713206683452,0.0235640648011782
"74","Drug poisoning",82,6,3,2,1,0.00279329608938547,0.00137917280314188,4.36713206683452,0.0235640648011782
"75","Heart & lung health",83,6,4,3,1,0.00347222222222222,0.00336687939780723,4.36713206683452,0.0235640648011782
"76","Sedatives",84,6,3,2,1,0.0034965034965035,0.000340063001145475,4.36713206683452,0.0235640648011782
"77","Frailty",88,6,3,2,1,0.00272479564032698,5.36941580756014e-05,4.36713206683452,0.0235640648011782
"78","Gender",90,6,1,0,1,0.00251256281407035,0,4.36713206683452,0.0235640648011782
"79","Near fatal overdose",91,6,2,1,1,0.00280898876404494,0.000659671084928817,4.36713206683452,0.0235640648011782
"80","Drug related death",98,6,7,7,0,0.00314465408805031,0,4.36713206683452,0.0235640648011782
"81","Knowledge of drugs and risk among general public",21,7,4,1,3,0.00343642611683849,0.00407666503027328,4.36713206683452,0.0235640648011782
"82","Evidence-baseddrug education in schools",22,7,2,0,2,0.00318471337579618,0,4.36713206683452,0.0235640648011782
"83","Peer relationships",25,7,6,0,6,0.0036101083032491,0,4.36713206683452,0.0235640648011782
"84","Hiding substance use from others",40,7,3,1,2,0.00294985250737463,0.0138172966781214,4.36713206683452,0.0235640648011782
"85","Exposure to drugs",41,7,5,2,3,0.0037037037037037,0.0356654495990836,4.36713206683452,0.0235640648011782
"86","Drug type",47,7,6,2,4,0.00350877192982456,0.0200678506654666,4.36713206683452,0.0235640648011782
"87","Education on substance use and associated harms",63,7,3,1,2,0.00292397660818713,0.00107388316151203,4.36713206683452,0.0235640648011782
"88","Drug toxicity",70,7,3,2,1,0.00301204819277108,0.00165446189930726,4.36713206683452,0.0235640648011782
"89","Access to safe supply of drugs",71,7,3,2,1,0.00337837837837838,0.000466372115856652,4.36713206683452,0.0235640648011782
"90","Lone versus groupsubstance use",76,7,4,3,1,0.00342465753424658,0.013381606938308,4.36713206683452,0.0235640648011782
"91","Alarm raising",79,7,4,3,1,0.00315457413249211,0.00931977172312224,4.36713206683452,0.0235640648011782
"92","Public versus private drug taking",80,7,5,4,1,0.00321543408360129,0.00409967681230568,4.36713206683452,0.0235640648011782
"93","Life-saving activity",81,7,3,2,1,0.00301204819277108,0.000836094747177221,4.36713206683452,0.0235640648011782
"94","Feeling safe",34,8,6,5,1,0.0037037037037037,0.0122665582556046,4.36713206683452,0.0235640648011782
"95","Housing Policy",37,8,3,0,3,0.00304878048780488,0,4.36713206683452,0.0235640648011782
"96","Homelessness",87,8,6,3,3,0.00363636363636364,0.0100157502863688,4.36713206683452,0.0235640648011782
"97","Quality of housing",93,8,3,1,2,0.00280898876404494,0.000322164948453608,4.36713206683452,0.0235640648011782
"98","Risk ofcrime victimisation",94,8,3,2,1,0.00301204819277108,0,4.36713206683452,0.0235640648011782
