"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"21","9",21,1,"idu_heroin","11","0.02"
"140","9",21,2,"idu_diazepam_non_prescribed","10","0.01"
"259","9",21,3,"cha_statutory_addiction_service","9","0.01"
"378","9",21,4,"idu_dihydrocodeine","8","0.01"
"497","9",21,5,"idu_cannabis","7","0"
"20","7",21,1,"THIAMINE.HCL_TAB.100MG","11","0.07"
"139","7",21,2,"chnd_alcohol_services","8","0.01"
"258","7",21,3,"aa_vitamin_supplements","7","0.02"
"377","7",21,4,"VIT.B.CO.STRONG_TAB","6","0.03"
"496","7",21,5,"CHLORDIAZEPOX.HCL_CAP.10MG","6","0.01"
"19","5",21,1,"cha_gp","9","0.02"
"138","5",21,2,"cha_a_e","8","0.01"
"257","5",21,3,"cha_psychiatric_services","7","0.01"
"376","5",21,4,"cha_social_work_services","6","0.01"
"495","5",21,5,"aa_inpatient_detoxification_and_residential_community_rehabilitation","5","0"
"18","2",21,1,"lw_homeless_accomodation","11","0"
"137","2",21,2,"lw_supported_accomodation","10","0"
"256","2",21,3,"lww_with_spouse_partner","10","0"
"375","2",21,4,"lw_relative_s_home","9","0"
"494","2",21,5,"lww_living_alone","9","0"
"26","43",20,1,"J22X_UNSPECIFIED.ACUTE.LOWER.RESPIRATORY.INFECTION","6","0.02"
"145","43",20,2,"AMOXICILLIN_CAP.500MG","6","0.02"
"264","43",20,3,"Z824_F.H.OF.IHD.AND.OTHER.DISEASES.OF.THE.CIRCULATORY.SYSTEM","5","0.01"
"383","43",20,4,"R060_DYSPNOEA","4","0"
"502","43",20,5,"Z720_TOBACCO.USE","4","0.01"
"25","42",20,1,"K210_GASTRO.OESOPHAGEAL.REFLUX.DISEASE.WITH.OESOPHAGITIS","10","0.02"
"144","42",20,2,"K20X_OESOPHAGITIS","5","0.01"
"263","42",20,3,"K219_GASTRO.OESOPHAGEAL.REFLUX.DISEASE.WITHOUT.OESOPHAGITIS","4","0.01"
"382","42",20,4,"K449_DIAPHRAGMATIC.HERNIA.WITHOUT.OBSTRUCTION.OR.GANGRENE","4","0"
"501","42",20,5,"CIPROFLOXACIN_TAB.250MG","4","0.01"
"24","20",20,1,"G409_EPILEPSY..UNSPECIFIED","10","0.02"
"143","20",20,2,"mc_epilepsy_seizures","5","0.01"
"262","20",20,3,"R568_OTHER.AND.UNSPECIFIED.CONVULSIONS","5","0.01"
"381","20",20,4,"NICORETTE_QUICKMIST.OROMUCOSAL.P.SPY","5","0.02"
"500","20",20,5,"AIROMIR_AUTOHALER.100MCG..200.D..CFF","4","0.01"
"29","82",19,1,"PEPTAC_LIQ..ANISEED..S.F","6","0.01"
"148","82",19,2,"BROLENE_EYE.DPS.0.1.","5","0.01"
"267","82",19,3,"LYMECYCLINE_CAP.408MG","4","0"
"386","82",19,4,"GLYCEROL.LEM.HONEY...GLUCOSE_SYR","4","0.01"
"505","82",19,5,"MIGRALEVE.COMPLETE_TAB","3","0"
"28","74",19,1,"MST.CONTINUS_TAB.10MG","7","0.02"
"147","74",19,2,"ORAMORPH_ORAL.SOLN.10MG.5ML","5","0.01"
"266","74",19,3,"CAPASAL_THERAPEUTIC.SHAMPOO","4","0.01"
"385","74",19,4,"MST.CONTINUS_TAB.30MG","4","0"
"504","74",19,5,"POLYTAR_LIQ","3","0"
"27","59",19,1,"DOMPERIDONE_TAB.10MG","7","0.02"
"146","59",19,2,"PEPTAC_LIQ..PEPPERMINT..S.F","5","0.02"
"265","59",19,3,"ESOMEPRAZOLE_TAB.E.C.40MG","4","0.01"
"384","59",19,4,"FORTISIP.BOTTLE_LIQ..8.FLAV.","4","0.01"
"503","59",19,5,"R33X_RETENTION.OF.URINE","3","0.01"
"30","37",18,1,"VENLAFAXINE_CAP.75MG.M.R","7","0.02"
"149","37",18,2,"TRANEXAMIC.ACID_TAB.500MG","4","0.01"
"268","37",18,3,"FLUCLOX.SOD_CAP.250MG","3","0"
"387","37",18,4,"VENLAFAXINE_TAB.37.5MG","3","0"
"506","37",18,5,"BECONASE_AQ.NSL.SPY.50MCG..200.D..22G","3","0"
"32","29",17,1,"Z032_OBSERVATION.FOR.SUSPECTED.MENTAL.AND.BEHAVIOURAL.DISORDERS","5","0.01"
"151","29",17,2,"F239_ACUTE.AND.TRANSIENT.PSYCHOTIC.DISORDER..UNSPECIFIED","5","0.01"
"270","29",17,3,"RISPERIDONE_TAB.1MG","4","0"
"389","29",17,4,"F155_PSYCHOTIC.DISORDER.DUE.TO.USE.OF.OTHER.STIMULANTS.INCLUDING.CAFFEINE","4","0.01"
"508","29",17,5,"pc_drug_or_alcohol_psychosis","3","0.01"
"31","13",17,1,"GABAPENTIN_CAP.300MG","9","0.02"
"150","13",17,2,"td_gabapentin","8","0.01"
"269","13",17,3,"op_amitriptyline","7","0.01"
"388","13",17,4,"TRAMADOL.HCL_CAP.50MG","7","0.02"
"507","13",17,5,"op_tramadol","4","0"
"36","58",16,1,"K703_ALCOHOLIC.CIRRHOSIS.OF.LIVER","8","0.02"
"155","58",16,2,"K766_PORTAL.HYPERTENSION","6","0.02"
"274","58",16,3,"REMEDEINE.FTE_TAB","4","0.01"
"393","58",16,4,"I859_OESOPHAGEAL.VARICES.WITHOUT.BLEEDING","3","0"
"512","58",16,5,"PARACET.DIHYDROCODEINE_TAB.500MG.20MG","3","0"
"35","44",16,1,"L97X_ULCER.OF.LOWER.LIMB..NOT.ELSEWHERE.CLASSIFIED","5","0.01"
"154","44",16,2,"INADINE.9.5CM.X.9.5.CM.POVIDONE.IODINE.FABRIC.DRESS.STER","5","0.01"
"273","44",16,3,"MEPORE.10CM.X.11CM.PFA...ADH.BORDER.DRESS","4","0.01"
"392","44",16,4,"CO.CODAMOL.EFF_TAB.8MG.500MG","4","0.01"
"511","44",16,5,"LAXIDO_ORAL.PDR.SACH..ORANGE..S.F","4","0.01"
"34","10",16,1,"op_mirtazapine","8","0.01"
"153","10",16,2,"td_pregabalin","8","0.01"
"272","10",16,3,"op_zopiclone","7","0.01"
"391","10",16,4,"op_gabapentin","6","0.01"
"510","10",16,5,"op_pregabalin","6","0.01"
"33","1",16,1,"cha_prison_healthcare","10","0.01"
"152","1",16,2,"sod_naloxone_take_home","7","0.01"
"271","1",16,3,"cha_harm_reduction_team","4","0"
"390","1",16,4,"cha_needle_exchange","4","0"
"509","1",16,5,"idu_legal_highs_new_psychoactive_substances","4","0"
"39","83",15,1,"METHADONE.HCL_MIX.1MG.1ML","10","0.09"
"158","83",15,2,"PARACET_TAB.500MG","7","0.03"
"277","83",15,3,"CO.CODAMOL_TAB.30MG.500MG","6","0.01"
"396","83",15,4,"DICLOFENAC.SOD_TAB.E.C.50MG","5","0.02"
"515","83",15,5,"IBUPROFEN_TAB.400MG","5","0.02"
"38","73",15,1,"DIORALYTE_PDR.SACH..BLKCURRANT.","5","0.02"
"157","73",15,2,"DIHYDROCODEINE.TART_TAB.120MG.M.R","4","0.01"
"276","73",15,3,"PROCHLPZINE.MAL_TAB.BUCCAL.3MG","3","0.01"
"395","73",15,4,"DIHYDROCODEINE.TART_TAB.90MG.M.R","3","0.01"
"514","73",15,5,"OXYNORM_CAP.5MG","3","0.01"
"37","61",15,1,"FYBOGEL_GRAN.SACH.3.5G.ORANGE.G.F.S.F","6","0.01"
"156","61",15,2,"Z038_OBSERVATION.FOR.OTHER.SUSPECTED.DISEASES.AND.CONDITIONS","4","0.03"
"275","61",15,3,"CIPROFLOXACIN_TAB.500MG","4","0.01"
"394","61",15,4,"HYOSCINE.BUTYLBROM_TAB.10MG","4","0.01"
"513","61",15,5,"MEBEVERINE.HCL_TAB.135MG","4","0.01"
"42","63",14,1,"DERMOL.600_BATH.EMOLLIENT","5","0.01"
"161","63",14,2,"DOVOBET_OINT.0.005..0.05.","4","0"
"280","63",14,3,"OILATUM_EMOLLIENT","3","0.01"
"399","63",14,4,"FEXOFENADINE.HCL_TAB.120MG","3","0"
"518","63",14,5,"Z048_EXAMINATION.AND.OBSERVATION.FOR.OTHER.SPECIFIED.REASONS","2","0.01"
"41","48",14,1,"T401_POISONING.BY.HEROIN","9","0.03"
"160","48",14,2,"T402_POISONING.BY.OTHER.OPIOIDS","8","0.03"
"279","48",14,3,"X429_ACC.POISONING.BY.NARCOTICS.PSYCHODYSLEPTICS.NEC.IN.UNSPECIFIED.PLACE","8","0.01"
"398","48",14,4,"X620_INTENT.SELF.POISONING.BY.EXPOSURE.TO.NARCOTICS.PSYCHODYSLEPTICS.AT.HOME","8","0.02"
"517","48",14,5,"T403_POISONING.BY.METHADONE","7","0"
"40","25",14,1,"K861_OTHER.CHRONIC.PANCREATITIS","7","0.02"
"159","25",14,2,"K860_ALCOHOL.INDUCED.CHRONIC.PANCREATITIS","5","0.01"
"278","25",14,3,"K292_ALCOHOLIC.GASTRITIS","4","0.01"
"397","25",14,4,"K297_GASTRITIS..UNSPECIFIED","3","0"
"516","25",14,5,"K85X_ACUTE.PANCREATITIS","3","0"
"52","95",13,1,"DIPROBASE_CRM","5","0.01"
"171","95",13,2,"EUMOVATE_CRM.0.05.","4","0.01"
"290","95",13,3,"CLOBET.BUT_CRM.0.05.","4","0.01"
"409","95",13,4,"IMPLANON_IMPLANT.68MG","4","0.01"
"528","95",13,5,"OPTICROM_ALLERGY.EYE.DPS.2.","3","0.01"
"51","87",13,1,"OMEPRAZOLE_CAP.E.C.20MG","6","0.04"
"170","87",13,2,"BETNOVATE_SCALP.APPLIC.0.1.","4","0"
"289","87",13,3,"TYROZETS_LOZ","3","0.01"
"408","87",13,4,"KETOCONAZOLE_SHAMPOO.2.","3","0.01"
"527","87",13,5,"ZOVIRAX_COLD.SORE.CRM.5.","3","0.01"
"50","81",13,1,"CETIRIZINE.HCL_TAB.10MG","9","0.01"
"169","81",13,2,"MOMETASONE.FUR_AQ.N.SPY.50MCG..140.D.","8","0.02"
"288","81",13,3,"CHLORPHENAMINE.MAL_TAB.4MG","3","0"
"407","81",13,4,"LORATADINE_TAB.10MG","3","0"
"526","81",13,5,"DOUBLEBASE_GEL","3","0.01"
"49","67",13,1,"ORLISTAT_CAP.120MG","5","0.01"
"168","67",13,2,"RAMIPRIL_CAP.5MG","4","0.01"
"287","67",13,3,"XENICAL_CAP.120MG","3","0"
"406","67",13,4,"LISINOPRIL_TAB.10MG","3","0"
"525","67",13,5,"NEFOPAM.HCL_TAB.30MG","3","0"
"48","66",13,1,"TRIMETHOPRIM_TAB.200MG","6","0.02"
"167","66",13,2,"NITROFURANTOIN_CAP.50MG","6","0.02"
"286","66",13,3,"MACRODANTIN_CAP.50MG","6","0.02"
"405","66",13,4,"MACROBID_CAP.100MG","4","0.01"
"524","66",13,5,"CEFALEXIN_CAP.250MG","4","0.01"
"47","53",13,1,"CHLORHEX.GLUCON_MTHWSH.0.2.","7","0.02"
"166","53",13,2,"MICONAZOLE_OROMUCOSAL.GEL.20MG.G.S.F","5","0.01"
"285","53",13,3,"VOLUMATIC","4","0.01"
"404","53",13,4,"G403_GENERALIZED.IDIOPATHIC.EPILEPSY.AND.EPILEPTIC.SYNDROMES","3","0"
"523","53",13,5,"DIAZEPAM_TAB.2MG","3","0.01"
"46","46",13,1,"FUROSEMIDE_TAB.40MG","5","0.01"
"165","46",13,2,"SPIRONOL_TAB.100MG","5","0"
"284","46",13,3,"K709_ALCOHOLIC.LIVER.DISEASE..UNSPECIFIED","4","0.01"
"403","46",13,4,"R945_ABNORMAL.RESULTS.OF.LIVER.FUNCTION.STUDIES","3","0"
"522","46",13,5,"R17X_UNSPECIFIED.JAUNDICE","3","0"
"45","21",13,1,"N179_ACUTE.RENAL.FAILURE..UNSPECIFIED","8","0.02"
"164","21",13,2,"K318_OTHER.SPECIFIED.DISEASES.OF.STOMACH.AND.DUODENUM","4","0.01"
"283","21",13,3,"EPILIM.CHRONO.500_TAB.500MG.C.R","4","0"
"402","21",13,4,"E86X_VOLUME.DEPLETION","3","0"
"521","21",13,5,"E876_HYPOKALAEMIA","3","0"
"44","17",13,1,"METFORMIN.HCL_TAB.500MG","6","0.01"
"163","17",13,2,"mc_diabetes","4","0"
"282","17",13,3,"E109_TYPE.1.DIABETES.MELLITUS.WITHOUT.COMPLICATIONS","4","0"
"401","17",13,4,"R53X_MALAISE.AND.FATIGUE","3","0"
"520","17",13,5,"E119_TYPE.2.DIABETES.MELLITUS.WITHOUT.COMPLICATIONS","3","0"
"43","16",13,1,"mc_hepatitis_c","10","0.01"
"162","16",13,2,"F112_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.DEPENDENT.USE.OF.OPIOIDS","8","0.06"
"281","16",13,3,"B182_CHRONIC.VIRAL.HEPATITIS.C","6","0.01"
"400","16",13,4,"Z225_CARRIER.OF.VIRAL.HEPATITIS","5","0.01"
"519","16",13,5,"B171_ACUTE.HEPATITIS.C","4","0.01"
"55","85",12,1,"MOMETASONE.FUR_CRM.0.1.","4","0.01"
"174","85",12,2,"BETNOVATE_CRM.0.1.","3","0.01"
"293","85",12,3,"BETAMETH.VAL_CRM.0.1.","3","0.01"
"412","85",12,4,"LYCLEAR_DERMAL.CRM.5.","2","0"
"531","85",12,5,"HYDROXYZINE.HCL_TAB.10MG","2","0"
"54","39",12,1,"F1025_ALCOHOL.DEPENDENCE.SYNDROME..CONTINUOUS.USE","6","0.01"
"173","39",12,2,"GAVISCON.ADVANCE_LIQ..ANISEED..S.F","6","0.01"
"292","39",12,3,"GAVISCON_LIQ.ORIG.ANISEED.RELIEF","5","0.01"
"411","39",12,4,"F1030_ALCOHOL.WITHDRAWAL.STATE..UNCOMPLICATED","4","0.01"
"530","39",12,5,"GAVISCON.ADVANCE_LIQ..PEPPERMINT..S.F","4","0"
"53","8",12,1,"F102_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ALCOHOL.DEPENDENCE.SYNDROME","11","0.07"
"172","8",12,2,"aa_no_known_treatment","7","0.02"
"291","8",12,3,"edu_alcohol_consumption","4","0"
"410","8",12,4,"td_alcohol","4","0.01"
"529","8",12,5,"F101_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.ALCOHOL","4","0.01"
"58","51",11,1,"ADCAL.D3_TAB.CHBLE..TUTTI.FRUTTI.","5","0.02"
"177","51",11,2,"R194_CHANGE.IN.BOWEL.HABIT","4","0.01"
"296","51",11,3,"MORPH.SULF_ORAL.SOLN.10MG.5ML","3","0.01"
"415","51",11,4,"VERSATIS_MEDIC.PLASTR.5.","3","0.01"
"534","51",11,5,"SILDENAFIL_TAB.100MG","3","0"
"57","40",11,1,"W109_FALL.ON.AND.FROM.STAIRS.AND.STEPS.IN.UNSPECIFIED.PLACE","4","0"
"176","40",11,2,"S9200_CLOSED.FRACTURE.OF.CALCANEUS","3","0"
"295","40",11,3,"S0650_TRAUMATIC.SUBDURAL.HAEMORRHAGE.WITHOUT.OPEN.INTRACRANIAL.WOUND","3","0"
"414","40",11,4,"W179_OTHER.FALL.FROM.ONE.LEVEL.TO.ANOTHER.IN.UNSPECIFIED.PLACE","3","0"
"533","40",11,5,"S5250_CLOSED.FRACTURE.OF.LOWER.END.OF.RADIUS","3","0"
"56","33",11,1,"TRAMADOL.HCL_CAP.100MG.M.R","4","0.01"
"175","33",11,2,"R31X_UNSPECIFIED.HAEMATURIA","3","0.01"
"294","33",11,3,"M5499_DORSALGIA..UNSPECIFIED..SITE.UNSPECIFIED.","3","0"
"413","33",11,4,"F130_MENTAL.BEHAVIOURAL.DISORDERS.DUE.TO.ACUTE.INTOX.WITH.SEDATIVE.OR.HYPNOTICS","3","0.01"
"532","33",11,5,"ZYDOL.SR_TAB.100MG","3","0.01"
"60","91",10,1,"NICORETTE.INVISI_PATCH.25MG.16HRS","4","0.01"
"179","91",10,2,"NICOTINELL.TTS.30_PATCH.21MG.24HRS","4","0.01"
"298","91",10,3,"NICORETTE_INHALATOR...INH.CART.10MG","3","0.01"
"417","91",10,4,"NIQUITIN_PATCH.21MG.24HRS..STEP.1.","3","0"
"536","91",10,5,"NIQUITIN.CLR_PATCH.21MG.24HRS.STEP.1.","3","0"
"59","60",10,1,"CHLORPROMAZINE.HCL_TAB.50MG","6","0.01"
"178","60",10,2,"CHLORPROMAZINE.HCL_TAB.25MG","5","0.02"
"297","60",10,3,"T427_POISONING.BY.ANTIEPILEPTIC...SEDATIVE.HYPNOTIC.DRUGS..UNSPEC","4","0.01"
"416","60",10,4,"R410_DISORIENTATION..UNSPECIFIED","3","0"
"535","60",10,5,"R268_OTHER.AND.UNSPECIFIED.ABNORMALITIES.OF.GAIT.AND.MOBILITY","2","0"
"61","19",8,1,"F603_EMOTIONALLY.UNSTABLE.PERSONALITY.DISORDER","6","0.01"
"180","19",8,2,"pc_personality_disorder","5","0.01"
"299","19",8,3,"F6031_EMOTIONALLY.UNSTABLE.PERSONALITY.DISORDER.BORDERLINE.TYPE","5","0"
"418","19",8,4,"F431_POST.TRAUMATIC.STRESS.DISORDER","4","0"
"537","19",8,5,"F609_PERSONALITY.DISORDER..UNSPECIFIED","3","0"
"62","41",7,1,"F131_MENTAL.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.SEDATIVES.OR.HYPNOTICS","5","0.01"
"181","41",7,2,"F111_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.OPIOIDS","4","0.01"
"300","41",7,3,"F121_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.CANNABINOIDS","2","0"
"419","41",7,4,"Z602_LIVING.ALONE","2","0"
"538","41",7,5,"F321_MODERATE.DEPRESSIVE.EPISODE","1","0"
"63","92",6,1,"VARENICLINE.TART_TAB.1MG","5","0.01"
"182","92",6,2,"CHAMPIX_TAB.1MG","3","0"
"301","92",6,3,"CHAMPIX_2WK.TT.INIT.PACK..TAB.0.5MG.1MG.","2","0"
"420","92",6,4,"VARENICLINE.TART_2WK.INIT.TAB.0.5MG.1MG.","2","0"
"539","92",6,5,"CHAMPIX_TITRATION.PACK..TAB.0.5MG.1MG.","2","0"
"65","86",5,1,"SALBUTAMOL_INHA.200MCG..100D.","2","0"
"184","86",5,2,"SALBUTAMOL_PDR.FOR.INH.200MCG..60.D.","2","0"
"303","86",5,3,"CONVATEC_ORABASE.PASTE.30G","2","0"
"422","86",5,4,"NASEPTIN_CRM","1","0"
"541","86",5,5,"VENTOLIN_ACCUHALER.200MCG..60.D.","1","0"
"64","34",5,1,"I469_CARDIAC.ARREST..UNSPECIFIED","3","0"
"183","34",5,2,"td_lignocaine","2","0.01"
"302","34",5,3,"G931_ANOXIC.BRAIN.DAMAGE..NOT.ELSEWHERE.CLASSIFIED","2","0"
"421","34",5,4,"I460_CARDIAC.ARREST.WITH.SUCCESSFUL.RESUSCITATION","1","0"
"540","34",5,5,"PARACET_ORAL.SUSP.250MG.5ML.S.F","1","0"
"68","93",4,1,"SUBOXONE_TAB.SUBLING.8MG.2MG","3","0"
"187","93",4,2,"SUBUTEX_TAB.SUBLING.8MG","2","0"
"306","93",4,3,"SUBOXONE_TAB.SUBLING.2MG.0.5MG","1","0"
"425","93",4,4,"SUBUTEX_TAB.SUBLING.2MG","1","0"
"544","93",4,5,"NA","NA","NA"
