"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"295","14",41,4,"L024_CUTANEOUS.ABSCESS..FURUNCLE.AND.CARBUNCLE.OF.LIMB","7","0.01"
"392","14",41,5,"L022_CUTANEOUS.ABSCESS..FURUNCLE.AND.CARBUNCLE.OF.TRUNK","7","0.01"
"5","8",37,1,"GABAPENTIN_CAP.300MG","9","0.02"
"102","8",37,2,"op_mirtazapine","8","0.01"
"199","8",37,3,"td_gabapentin","8","0.01"
"296","8",37,4,"td_pregabalin","8","0.01"
"393","8",37,5,"op_amitriptyline","7","0.01"
"6","37",36,1,"F102_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ALCOHOL.DEPENDENCE.SYNDROME","11","0.07"
"103","37",36,2,"QUETIAPINE_TAB.25MG","6","0.01"
"200","37",36,3,"QUETIAPINE_TAB.200MG","6","0.01"
"297","37",36,4,"Z915_PERSONAL.HISTORY.OF.SELF.HARM","5","0.01"
"394","37",36,5,"QUETIAPINE_TAB.100MG","5","0.01"
"9","21",33,1,"SALBUTAMOL_INHA.100MCG..200.D..CFF","13","0.04"
"106","21",33,2,"AMOXICILLIN_CAP.500MG","6","0.02"
"203","21",33,3,"OMEPRAZOLE_CAP.E.C.20MG","6","0.04"
"300","21",33,4,"PREDNISOLONE_TAB.5MG","6","0.02"
"397","21",33,5,"CLENIL.MODULITE_INHA.100MCG..200D.","6","0"
"8","5",33,1,"THIAMINE.HCL_TAB.100MG","11","0.07"
"105","5",33,2,"chnd_alcohol_services","8","0.01"
"202","5",33,3,"aa_no_known_treatment","7","0.02"
"299","5",33,4,"aa_vitamin_supplements","7","0.02"
"396","5",33,5,"F1025_ALCOHOL.DEPENDENCE.SYNDROME..CONTINUOUS.USE","6","0.01"
"7","4",33,1,"chnd_mental_health_services","7","0.02"
"104","4",33,2,"OLANZAPINE_TAB.10MG","7","0.01"
"201","4",33,3,"pc_bi_polar_disorder","6","0.01"
"298","4",33,4,"td_olanzapine","6","0.01"
"395","4",33,5,"F603_EMOTIONALLY.UNSTABLE.PERSONALITY.DISORDER","6","0.01"
"12","65",31,1,"METHADONE.HCL_MIX.1MG.1ML","10","0.09"
"109","65",31,2,"PARACET_TAB.500MG","7","0.03"
"206","65",31,3,"DOMPERIDONE_TAB.10MG","7","0.02"
"303","65",31,4,"CO.CODAMOL_TAB.30MG.500MG","6","0.01"
"400","65",31,5,"DICLOFENAC.SOD_TAB.E.C.50MG","5","0.02"
"11","29",31,1,"PREGABALIN_CAP.150MG","6","0.01"
"108","29",31,2,"PREGABALIN_CAP.200MG","5","0.01"
"205","29",31,3,"DULOXETINE.HCL_CAP.G.R.60MG","4","0.01"
"302","29",31,4,"LYRICA_CAP.150MG","4","0.01"
"399","29",31,5,"LYRICA_CAP.300MG","4","0"
"10","1",31,1,"cha_prison_healthcare","10","0.01"
"107","1",31,2,"cha_gp","9","0.02"
"204","1",31,3,"cha_a_e","8","0.01"
"301","1",31,4,"sod_naloxone_take_home","7","0.01"
"398","1",31,5,"cha_psychiatric_services","7","0.01"
"15","48",30,1,"ASPIRIN.DISPER_TAB.75MG","8","0.01"
"112","48",30,2,"CLOPIDOGREL_TAB.75MG","6","0.02"
"209","48",30,3,"GLYCERYL.TRINIT_SUBLING.SPY.400MCG.180D.","6","0.02"
"306","48",30,4,"I259_CHRONIC.ISCHAEMIC.HEART.DISEASE..UNSPECIFIED","5","0"
"403","48",30,5,"ADCAL.D3_TAB.CHBLE..TUTTI.FRUTTI.","5","0.02"
"14","34",30,1,"K210_GASTRO.OESOPHAGEAL.REFLUX.DISEASE.WITH.OESOPHAGITIS","10","0.02"
"111","34",30,2,"K20X_OESOPHAGITIS","5","0.01"
"208","34",30,3,"K219_GASTRO.OESOPHAGEAL.REFLUX.DISEASE.WITHOUT.OESOPHAGITIS","4","0.01"
"305","34",30,4,"K449_DIAPHRAGMATIC.HERNIA.WITHOUT.OBSTRUCTION.OR.GANGRENE","4","0"
"402","34",30,5,"CAPASAL_THERAPEUTIC.SHAMPOO","4","0.01"
"13","15",30,1,"G409_EPILEPSY..UNSPECIFIED","10","0.02"
"110","15",30,2,"mc_epilepsy_seizures","5","0.01"
"207","15",30,3,"BETNOVATE_SCALP.APPLIC.0.1.","4","0"
"304","15",30,4,"TRAMADOL.HCL_CAP.100MG.M.R","4","0.01"
"401","15",30,5,"EPILIM.CHRONO.500_TAB.500MG.C.R","4","0"
"17","38",29,1,"K703_ALCOHOLIC.CIRRHOSIS.OF.LIVER","8","0.02"
"114","38",29,2,"K766_PORTAL.HYPERTENSION","6","0.02"
"211","38",29,3,"FUROSEMIDE_TAB.40MG","5","0.01"
"308","38",29,4,"SPIRONOL_TAB.100MG","5","0"
"405","38",29,5,"K709_ALCOHOLIC.LIVER.DISEASE..UNSPECIFIED","4","0.01"
"16","20",29,1,"K861_OTHER.CHRONIC.PANCREATITIS","7","0.02"
"113","20",29,2,"K860_ALCOHOL.INDUCED.CHRONIC.PANCREATITIS","5","0.01"
"210","20",29,3,"DIORALYTE_PDR.SACH..BLKCURRANT.","5","0.02"
"307","20",29,4,"K292_ALCOHOLIC.GASTRITIS","4","0.01"
"404","20",29,5,"DIHYDROCODEINE.TART_TAB.120MG.M.R","4","0.01"
"18","49",27,1,"FLUCONAZOLE_CAP.150MG","7","0.01"
"115","49",27,2,"CLOTRIMAZOLE_PESS.500MG","7","0.02"
"212","49",27,3,"LOPERAMIDE.HCL_CAP.2MG","6","0.02"
"309","49",27,4,"R568_OTHER.AND.UNSPECIFIED.CONVULSIONS","5","0.01"
"406","49",27,5,"CLOTRIMAZOLE_CRM.1.","5","0.01"
"22","51",26,1,"ENSURE.PLUS_MILKSHAKE.STYLE.LIQ.10.FLAV.","9","0.03"
"119","51",26,2,"DRESSIT.STER.DRESS.PACK","5","0.01"
"216","51",26,3,"MICROPORE.2.5CM.X.5M.SURG.ADH.TAPE.PERM.NON.WOV.SYN","4","0"
"313","51",26,4,"DIFFLAM_P.SPY.0.15..30ML","4","0.01"
"410","51",26,5,"AIROMIR_AUTOHALER.100MCG..200.D..CFF","4","0.01"
"21","40",26,1,"MST.CONTINUS_TAB.10MG","7","0.02"
"118","40",26,2,"I849_UNSPECIFIED.HAEMORRHOIDS.WITHOUT.COMPLICATION","5","0.01"
"215","40",26,3,"ORAMORPH_ORAL.SOLN.10MG.5ML","5","0.01"
"312","40",26,4,"R194_CHANGE.IN.BOWEL.HABIT","4","0.01"
"409","40",26,5,"ANUSOL.HC_OINT","4","0.01"
"20","12",26,1,"mc_hepatitis_c","10","0.01"
"117","12",26,2,"F112_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.DEPENDENT.USE.OF.OPIOIDS","8","0.06"
"214","12",26,3,"B182_CHRONIC.VIRAL.HEPATITIS.C","6","0.01"
"311","12",26,4,"Z225_CARRIER.OF.VIRAL.HEPATITIS","5","0.01"
"408","12",26,5,"CHLORAMPHEN_EYE.DPS.0.5.","5","0.01"
"19","7",26,1,"idu_heroin","11","0.02"
"116","7",26,2,"idu_diazepam_non_prescribed","10","0.01"
"213","7",26,3,"cha_statutory_addiction_service","9","0.01"
"310","7",26,4,"idu_dihydrocodeine","8","0.01"
"407","7",26,5,"idu_cannabis","7","0"
"26","63",25,1,"CETIRIZINE.HCL_TAB.10MG","9","0.01"
"123","63",25,2,"MOMETASONE.FUR_AQ.N.SPY.50MCG..140.D.","8","0.02"
"220","63",25,3,"MOMETASONE.FUR_CRM.0.1.","4","0.01"
"317","63",25,4,"CHLORPHENAMINE.MAL_TAB.4MG","3","0"
"414","63",25,5,"BETNOVATE_CRM.0.1.","3","0.01"
"25","27",25,1,"R11X_NAUSEA.AND.VOMITING","7","0.01"
"122","27",25,2,"T810_HAEMORRHAGE.AND.HAEMATOMA.COMPLICATING.A.PROCEDURE.NEC","6","0.01"
"219","27",25,3,"R104_OTHER.AND.UNSPECIFIED.ABDOMINAL.PAIN","5","0.01"
"316","27",25,4,"T814_INFECTION.FOLLOWING.A.PROCEDURE..NOT.ELSEWHERE.CLASSIFIED","4","0"
"413","27",25,5,"Y838_ABNORMAL.REACTION.TO.OR.LATER.COMPLICATION.OF.OTHER.SURGICAL.PROCEDURES","3","0"
"24","23",25,1,"op_diazepam","9","0.02"
"121","23",25,2,"td_diazepam","9","0.02"
"218","23",25,3,"td_nordiazepam","8","0.01"
"315","23",25,4,"td_dihydrocodeine","7","0.01"
"412","23",25,5,"DIAZEPAM_TAB.5MG","7","0.02"
"23","22",25,1,"CHLORHEX.GLUCON_MTHWSH.0.2.","7","0.02"
"120","22",25,2,"CITALOPRAM.HYDROB_TAB.10MG","6","0.01"
"217","22",25,3,"CITALOPRAM.HYDROB_TAB.20MG","6","0.01"
"314","22",25,4,"CITALOPRAM.HYDROB_TAB.40MG","4","0"
"411","22",25,5,"PRECONCEIVE_FOLIC.ACID.TAB.400MCG","4","0.01"
"27","31",24,1,"VENLAFAXINE_CAP.75MG.M.R","7","0.02"
"124","31",24,2,"MICONAZOLE_OROMUCOSAL.GEL.20MG.G.S.F","5","0.01"
"221","31",24,3,"TRANEXAMIC.ACID_TAB.500MG","4","0.01"
"318","31",24,4,"VOLUMATIC","4","0.01"
"415","31",24,5,"DAKTARIN_OROMUCOSAL.GEL.20MG.G.S.F","3","0.01"
"29","45",23,1,"CHLORPROMAZINE.HCL_TAB.50MG","6","0.01"
"126","45",23,2,"ORLISTAT_CAP.120MG","5","0.01"
"223","45",23,3,"CHLORPROMAZINE.HCL_TAB.25MG","5","0.02"
"320","45",23,4,"T427_POISONING.BY.ANTIEPILEPTIC...SEDATIVE.HYPNOTIC.DRUGS..UNSPEC","4","0.01"
"417","45",23,5,"RAMIPRIL_CAP.5MG","4","0.01"
"28","30",23,1,"SIMPLE_LINCT.S.F","7","0.01"
"125","30",23,2,"TRIMETHOPRIM_TAB.200MG","6","0.02"
"222","30",23,3,"NITROFURANTOIN_CAP.50MG","6","0.02"
"319","30",23,4,"MACRODANTIN_CAP.50MG","6","0.02"
"416","30",23,5,"TRAZODONE.HCL_CAP.50MG","4","0"
"31","43",22,1,"J440_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE.WITH.ACUTE.LOWER.RESP.INFECTION","7","0.02"
"128","43",22,2,"TIOTROPIUM_PDR.FOR.INH.CAP.18MCG","6","0.01"
"225","43",22,3,"J449_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE..UNSPECIFIED","5","0.01"
"322","43",22,4,"SALBUTAMOL_INH.SOLN.2.5MG.2.5ML.UD","5","0"
"419","43",22,5,"J441_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE.WITH.ACUTE.EXACERBATION..UNSPECIFIED","4","0.01"
"30","24",22,1,"R103_PAIN.LOCALIZED.TO.OTHER.PARTS.OF.LOWER.ABDOMEN","5","0.01"
"127","24",22,2,"Z032_OBSERVATION.FOR.SUSPECTED.MENTAL.AND.BEHAVIOURAL.DISORDERS","5","0.01"
"224","24",22,3,"F239_ACUTE.AND.TRANSIENT.PSYCHOTIC.DISORDER..UNSPECIFIED","5","0.01"
"321","24",22,4,"RISPERIDONE_TAB.1MG","4","0"
"418","24",22,5,"F155_PSYCHOTIC.DISORDER.DUE.TO.USE.OF.OTHER.STIMULANTS.INCLUDING.CAFFEINE","4","0.01"
"32","25",21,1,"PROPRANOLOL.HCL_CAP.80MG.M.R","7","0.02"
"129","25",21,2,"pc_anxiety","6","0.01"
"226","25",21,3,"NICORETTE_QUICKMIST.OROMUCOSAL.P.SPY","5","0.02"
"323","25",21,4,"NICORETTE.INVISI_PATCH.25MG.16HRS","4","0.01"
"420","25",21,5,"NICOTINELL.TTS.30_PATCH.21MG.24HRS","4","0.01"
"34","50",20,1,"FERR.SULF_TAB.200MG","6","0.01"
"131","50",20,2,"D509_IRON.DEFICIENCY.ANAEMIA..UNSPECIFIED","5","0.02"
"228","50",20,3,"FERR.FUMAR_TAB.210MG","5","0.01"
"325","50",20,4,"MUCODYNE_CAP.375MG","5","0.01"
"422","50",20,5,"CIPROFLOXACIN_TAB.250MG","4","0.01"
"33","47",20,1,"DERMOL.600_BATH.EMOLLIENT","5","0.01"
"130","47",20,2,"EUMOVATE_CRM.0.05.","4","0.01"
"227","47",20,3,"DOVOBET_OINT.0.005..0.05.","4","0"
"324","47",20,4,"CLOBET.BUT_CRM.0.05.","4","0.01"
"421","47",20,5,"OILATUM_EMOLLIENT","3","0.01"
"35","16",19,1,"N179_ACUTE.RENAL.FAILURE..UNSPECIFIED","8","0.02"
"132","16",19,2,"K318_OTHER.SPECIFIED.DISEASES.OF.STOMACH.AND.DUODENUM","4","0.01"
"229","16",19,3,"FORTISIP.BOTTLE_LIQ..8.FLAV.","4","0.01"
"326","16",19,4,"E86X_VOLUME.DEPLETION","3","0"
"423","16",19,5,"E876_HYPOKALAEMIA","3","0"
"37","52",18,1,"FLUCLOX.SOD_CAP.500MG","7","0.02"
"134","52",18,2,"SAVLON_ANTIS.CRM","5","0.01"
"231","52",18,3,"PHENOXYMETHYLPENICILLIN.POT_TAB.250MG","5","0.01"
"328","52",18,4,"METRONIDAZOLE_TAB.400MG","4","0.01"
"425","52",18,5,"MEPORE.7CM.X.8CM.PFA...ADH.BORDER.DRESS","4","0.01"
"36","35",18,1,"J22X_UNSPECIFIED.ACUTE.LOWER.RESPIRATORY.INFECTION","6","0.02"
"133","35",18,2,"Z824_F.H.OF.IHD.AND.OTHER.DISEASES.OF.THE.CIRCULATORY.SYSTEM","5","0.01"
"230","35",18,3,"R060_DYSPNOEA","4","0"
"327","35",18,4,"Z720_TOBACCO.USE","4","0.01"
"424","35",18,5,"J189_PNEUMONIA..UNSPECIFIED","4","0"
"38","36",16,1,"L97X_ULCER.OF.LOWER.LIMB..NOT.ELSEWHERE.CLASSIFIED","5","0.01"
"135","36",16,2,"INADINE.9.5CM.X.9.5.CM.POVIDONE.IODINE.FABRIC.DRESS.STER","5","0.01"
"232","36",16,3,"MEPORE.10CM.X.11CM.PFA...ADH.BORDER.DRESS","4","0.01"
"329","36",16,4,"CO.CODAMOL.EFF_TAB.8MG.500MG","4","0.01"
"426","36",16,5,"LAXIDO_ORAL.PDR.SACH..ORANGE..S.F","4","0.01"
"40","64",15,1,"BROLENE_EYE.DPS.0.1.","5","0.01"
"137","64",15,2,"DIPROBASE_CRM","5","0.01"
"234","64",15,3,"LYMECYCLINE_CAP.408MG","4","0"
"331","64",15,4,"IMPLANON_IMPLANT.68MG","4","0.01"
"428","64",15,5,"MIGRALEVE.COMPLETE_TAB","3","0"
"39","46",15,1,"FYBOGEL_GRAN.SACH.3.5G.ORANGE.G.F.S.F","6","0.01"
"136","46",15,2,"Z038_OBSERVATION.FOR.OTHER.SUSPECTED.DISEASES.AND.CONDITIONS","4","0.03"
"233","46",15,3,"CIPROFLOXACIN_TAB.500MG","4","0.01"
"330","46",15,4,"HYOSCINE.BUTYLBROM_TAB.10MG","4","0.01"
"427","46",15,5,"MEBEVERINE.HCL_TAB.135MG","4","0.01"
"41","69",14,1,"GAVISCON.ADVANCE_LIQ..ANISEED..S.F","6","0.01"
"138","69",14,2,"PEPTAC_LIQ..ANISEED..S.F","6","0.01"
"235","69",14,3,"GAVISCON_LIQ.ORIG.ANISEED.RELIEF","5","0.01"
"332","69",14,4,"GAVISCON.ADVANCE_LIQ..PEPPERMINT..S.F","4","0"
"429","69",14,5,"GAVISCON_LIQ.RELIEF.PEPPERMINT","4","0"
"42","13",13,1,"METFORMIN.HCL_TAB.500MG","6","0.01"
"139","13",13,2,"mc_diabetes","4","0"
"236","13",13,3,"E109_TYPE.1.DIABETES.MELLITUS.WITHOUT.COMPLICATIONS","4","0"
"333","13",13,4,"R53X_MALAISE.AND.FATIGUE","3","0"
"430","13",13,5,"E119_TYPE.2.DIABETES.MELLITUS.WITHOUT.COMPLICATIONS","3","0"
"43","67",5,1,"SALBUTAMOL_INHA.200MCG..100D.","2","0"
"140","67",5,2,"SALBUTAMOL_PDR.FOR.INH.200MCG..60.D.","2","0"
"237","67",5,3,"CONVATEC_ORABASE.PASTE.30G","2","0"
"334","67",5,4,"NASEPTIN_CRM","1","0"
"431","67",5,5,"VENTOLIN_ACCUHALER.200MCG..60.D.","1","0"
"46","72",4,1,"SUBOXONE_TAB.SUBLING.8MG.2MG","3","0"
"143","72",4,2,"SUBUTEX_TAB.SUBLING.8MG","2","0"
"240","72",4,3,"SUBOXONE_TAB.SUBLING.2MG.0.5MG","1","0"
"337","72",4,4,"SUBUTEX_TAB.SUBLING.2MG","1","0"
"434","72",4,5,"NA","NA","NA"
"45","58",4,1,"LEVOTHYROX.SOD_TAB.100MCG","3","0"
"142","58",4,2,"LEVOTHYROX.SOD_TAB.50MCG","3","0"
"239","58",4,3,"E039_HYPOTHYROIDISM..UNSPECIFIED","2","0"
"336","58",4,4,"LEVOTHYROX.SOD_TAB.25MCG","2","0"
"433","58",4,5,"NA","NA","NA"
"44","26",4,1,"CLOMIPRAMINE.HCL_CAP.50MG","3","0"
"141","26",4,2,"pc_obsessive_compulsive_disorder","1","0"
"238","26",4,3,"td_anti_depressants","1","0"
"335","26",4,4,"CLOMIPRAMINE.HCL_CAP.25MG","1","0"
"432","26",4,5,"NA","NA","NA"
"51","75",3,1,"VENLALIC.XL_TAB.225MG","2","0"
"148","75",3,2,"XYLOMET.HCL_NSL.DPS.0.1.","1","0"
"245","75",3,3,"VENLAFAXINE_TAB.225MG.M.R","1","0"
"342","75",3,4,"NA","NA","NA"
"439","75",3,5,"NA","NA","NA"
"50","60",3,1,"N508_OTHER.SPECIFIED.DISORDERS.OF.MALE.GENITAL.ORGANS","2","0"
"147","60",3,2,"N459_ORCHITIS..EPIDIDYMITIS.AND.EPIDIDYMO.ORCHITIS.WITHOUT.ABSCESS","1","0"
"244","60",3,3,"AZITHROMYCIN_TAB.500MG","1","0"
"341","60",3,4,"NA","NA","NA"
"438","60",3,5,"NA","NA","NA"
"49","28",3,1,"DOSULEPIN.HCL_TAB.75MG","2","0"
"146","28",3,2,"td_dothiepin","1","0"
"243","28",3,3,"DOSULEPIN.HCL_CAP.25MG","1","0"
"340","28",3,4,"NA","NA","NA"
"437","28",3,5,"NA","NA","NA"
"48","6",3,1,"chnd_employability_services","2","0"
"145","6",3,2,"rse_debt","1","0"
"242","6",3,3,"es_support_into_employment","1","0"
"339","6",3,4,"NA","NA","NA"
"436","6",3,5,"NA","NA","NA"
"47","3",3,1,"rse_childcustodyissues","2","0"
"144","3",3,2,"rse_lossofchildcustody","1","0"
"241","3",3,3,"rse_childcustodyhearings","1","0"
"338","3",3,4,"NA","NA","NA"
"435","3",3,5,"NA","NA","NA"
"73","84",2,1,"CELEBREX_CAP.100MG","1","0"
"170","84",2,2,"CELECOXIB_CAP.100MG","1","0"
"267","84",2,3,"NA","NA","NA"
"364","84",2,4,"NA","NA","NA"
"461","84",2,5,"NA","NA","NA"
"72","83",2,1,"BUPRENORPHINE_TAB.SUBLING.2MG.S.F","1","0"
"169","83",2,2,"BUPRENORPHINE_TAB.SUBLING.8MG.S.F","1","0"
"266","83",2,3,"NA","NA","NA"
"363","83",2,4,"NA","NA","NA"
"460","83",2,5,"NA","NA","NA"
"71","82",2,1,"MOTILIUM.10_TAB.10MG","1","0"
"168","82",2,2,"BUCCASTEM.M_TAB.3MG","1","0"
"265","82",2,3,"NA","NA","NA"
"362","82",2,4,"NA","NA","NA"
"459","82",2,5,"NA","NA","NA"
"70","81",2,1,"IBUPROFEN_TAB.600MG","1","0"
"167","81",2,2,"DERMOVATE_OINT.0.05.","1","0"
"264","81",2,3,"NA","NA","NA"
"361","81",2,4,"NA","NA","NA"
"458","81",2,5,"NA","NA","NA"
"69","80",2,1,"DERMOL.200_SHOWER.EMOLLIENT","1","0"
"166","80",2,2,"DERMOL_CRM","1","0"
"263","80",2,3,"NA","NA","NA"
"360","80",2,4,"NA","NA","NA"
"457","80",2,5,"NA","NA","NA"
"68","79",2,1,"ALGESAL_CRM.10.","1","0"
"165","79",2,2,"MAG.SULF_PASTE","1","0"
"262","79",2,3,"NA","NA","NA"
"359","79",2,4,"NA","NA","NA"
"456","79",2,5,"NA","NA","NA"
"67","77",2,1,"LEVETIRACETAM_TAB.500MG","1","0"
"164","77",2,2,"LEVETIRACETAM_TAB.250MG","1","0"
"261","77",2,3,"NA","NA","NA"
"358","77",2,4,"NA","NA","NA"
"455","77",2,5,"NA","NA","NA"
"66","76",2,1,"NAPROXEN_TAB.250MG","1","0"
"163","76",2,2,"NAPROXEN_TAB.E.C.250MG","1","0"
"260","76",2,3,"NA","NA","NA"
"357","76",2,4,"NA","NA","NA"
"454","76",2,5,"NA","NA","NA"
"65","74",2,1,"PROCTOSEDYL_OINT","1","0"
"162","74",2,2,"PROCTOSEDYL_SUPPOS","1","0"
"259","74",2,3,"NA","NA","NA"
"356","74",2,4,"NA","NA","NA"
"453","74",2,5,"NA","NA","NA"
"64","73",2,1,"NICORETTE_PATCH.15MG.16HRS","1","0"
"161","73",2,2,"NICORETTE_PATCH.10MG.16HRS","1","0"
"258","73",2,3,"NA","NA","NA"
"355","73",2,4,"NA","NA","NA"
"452","73",2,5,"NA","NA","NA"
"63","70",2,1,"DALTEPARIN.SOD_INJ.25.000U.ML.0.5ML.PFS","1","0"
"160","70",2,2,"FRAGMIN_INJ.25.000U.ML.0.5ML.PFS","1","0"
"257","70",2,3,"NA","NA","NA"
"354","70",2,4,"NA","NA","NA"
"451","70",2,5,"NA","NA","NA"
"62","66",2,1,"FUSIDIC.ACID_CRM.2.","1","0"
"159","66",2,2,"FUCIDIN.H_CRM","1","0"
"256","66",2,3,"NA","NA","NA"
"353","66",2,4,"NA","NA","NA"
"450","66",2,5,"NA","NA","NA"
"61","57",2,1,"R298_OTHER...UNSPEC.SYMPTOMS...SIGNS.INVOLVING.THE.NERVOUS...MUSCULOSKEL.SYST","1","0"
"158","57",2,2,"R202_PARAESTHESIA.OF.SKIN","1","0"
"255","57",2,3,"NA","NA","NA"
"352","57",2,4,"NA","NA","NA"
"449","57",2,5,"NA","NA","NA"
"60","56",2,1,"N832_OTHER.AND.UNSPECIFIED.OVARIAN.CYSTS","1","0"
"157","56",2,2,"N939_ABNORMAL.UTERINE.AND.VAGINAL.BLEEDING..UNSPECIFIED","1","0"
"254","56",2,3,"NA","NA","NA"
"351","56",2,4,"NA","NA","NA"
"448","56",2,5,"NA","NA","NA"
"59","55",2,1,"M950_ACQUIRED.DEFORMITY.OF.NOSE","1","0"
"156","55",2,2,"J342_DEVIATED.NASAL.SEPTUM","1","0"
"253","55",2,3,"NA","NA","NA"
"350","55",2,4,"NA","NA","NA"
"447","55",2,5,"NA","NA","NA"
"58","42",2,1,"K011_IMPACTED.TEETH","1","0"
"155","42",2,2,"K029_DENTAL.CARIES..UNSPECIFIED","1","0"
"252","42",2,3,"NA","NA","NA"
"349","42",2,4,"NA","NA","NA"
"446","42",2,5,"NA","NA","NA"
"57","41",2,1,"Z722_DRUG.USE","1","0"
"154","41",2,2,"W019_FALL.ON.SAME.LEVEL.BY.SLIPPING.TRIPPING.STUMBLING.IN.UNPEC..PLACE","1","0"
"251","41",2,3,"NA","NA","NA"
"348","41",2,4,"NA","NA","NA"
"445","41",2,5,"NA","NA","NA"
"56","32",2,1,"E669_OBESITY..UNSPECIFIED","1","0"
"153","32",2,2,"BD.MICROFINE..NEEDLES.PEN.INJ.SCREW.ON.8MM","1","0"
"250","32",2,3,"NA","NA","NA"
"347","32",2,4,"NA","NA","NA"
"444","32",2,5,"NA","NA","NA"
"55","19",2,1,"mc_no_known_medical_conditions","1","0"
"152","19",2,2,"pc_no_known_psychiatric_conditions","1","0"
"249","19",2,3,"NA","NA","NA"
"346","19",2,4,"NA","NA","NA"
"443","19",2,5,"NA","NA","NA"
"54","18",2,1,"mc_migraine_headaches","1","0"
"151","18",2,2,"SUMATRIPTAN_TAB.50MG","1","0"
"248","18",2,3,"NA","NA","NA"
"345","18",2,4,"NA","NA","NA"
"442","18",2,5,"NA","NA","NA"
"53","17",2,1,"mc_learning_disability","1","0"
"150","17",2,2,"pc_a_dhd_add","1","0"
"247","17",2,3,"NA","NA","NA"
"344","17",2,4,"NA","NA","NA"
"441","17",2,5,"NA","NA","NA"
"52","10",2,1,"lw_prison","1","0"
"149","10",2,2,"lww_other_prisoners","1","0"
"246","10",2,3,"NA","NA","NA"
"343","10",2,4,"NA","NA","NA"
"440","10",2,5,"NA","NA","NA"
"97","97",1,1,"MELOXICAM_TAB.15MG","0","0"
"194","97",1,2,"NA","NA","NA"
"291","97",1,3,"NA","NA","NA"
"388","97",1,4,"NA","NA","NA"
"485","97",1,5,"NA","NA","NA"
"96","96",1,1,"OTEX_EAR.DPS.5.","0","0"
"193","96",1,2,"NA","NA","NA"
"290","96",1,3,"NA","NA","NA"
"387","96",1,4,"NA","NA","NA"
"484","96",1,5,"NA","NA","NA"
"95","95",1,1,"TWINRIX.ADULT_VAC.720U.20MCG.ML.1ML.PFS","0","0"
"192","95",1,2,"NA","NA","NA"
"289","95",1,3,"NA","NA","NA"
"386","95",1,4,"NA","NA","NA"
"483","95",1,5,"NA","NA","NA"
"94","94",1,1,"CLEMENT.CLARKE.STND.RANGE.PEAK.FLOW.METER.HAND.HELD","0","0"
"191","94",1,2,"NA","NA","NA"
"288","94",1,3,"NA","NA","NA"
"385","94",1,4,"NA","NA","NA"
"482","94",1,5,"NA","NA","NA"
"93","93",1,1,"HYDROCORT_CRM.0.5.","0","0"
"190","93",1,2,"NA","NA","NA"
"287","93",1,3,"NA","NA","NA"
"384","93",1,4,"NA","NA","NA"
"481","93",1,5,"NA","NA","NA"
"92","92",1,1,"F172_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.TOBACCO.DEPENDENCE.SYNDROME","0","0"
"189","92",1,2,"NA","NA","NA"
