"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"67","11",3,3,"Evidence-baseddrug education in schools","2","0"
"93","11",3,4,"NA","NA","NA"
"119","11",3,5,"NA","NA","NA"
"14","8",3,1,"Contact with criminaljustice system","9","0.04"
"40","8",3,2,"Traumatising experiences","6","0.01"
"66","8",3,3,"Social Security Policy","2","0"
"92","8",3,4,"NA","NA","NA"
"118","8",3,5,"NA","NA","NA"
"13","3",3,1,"Positive future aspirations","11","0.09"
"39","3",3,2,"Internalised stigma","4","0.02"
"65","3",3,3,"Self worth","3","0"
"91","3",3,4,"NA","NA","NA"
"117","3",3,5,"NA","NA","NA"
"26","26",2,1,"Risk of harm occurring while using drugs","5","0.02"
"52","26",2,2,"Poly drug use","5","0.02"
"78","26",2,3,"NA","NA","NA"
"104","26",2,4,"NA","NA","NA"
"130","26",2,5,"NA","NA","NA"
"25","22",2,1,"Drug type","6","0.03"
"51","22",2,2,"Exposure to drugs","5","0.03"
"77","22",2,3,"NA","NA","NA"
"103","22",2,4,"NA","NA","NA"
"129","22",2,5,"NA","NA","NA"
"24","20",2,1,"Exploitation ","2","0.01"
"50","20",2,2,"Organised crime groups","2","0"
"76","20",2,3,"NA","NA","NA"
"102","20",2,4,"NA","NA","NA"
"128","20",2,5,"NA","NA","NA"
"23","15",2,1,"Peer relationships","6","0.02"
"49","15",2,2,"Lone versus groupsubstance use","4","0.02"
"75","15",2,3,"NA","NA","NA"
"101","15",2,4,"NA","NA","NA"
"127","15",2,5,"NA","NA","NA"
"22","9",2,1,"Poverty","14","0.12"
"48","9",2,2,"Employment opportunities","3","0"
"74","9",2,3,"NA","NA","NA"
"100","9",2,4,"NA","NA","NA"
"126","9",2,5,"NA","NA","NA"
