"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"382","2",21,4,"lw_relative_s_home","9","0"
"504","2",21,5,"lww_living_alone","9","0"
"25","45",20,1,"QUETIAPINE_TAB.25MG","6","0.01"
"147","45",20,2,"QUETIAPINE_TAB.200MG","6","0.01"
"269","45",20,3,"Z915_PERSONAL.HISTORY.OF.SELF.HARM","5","0.01"
"391","45",20,4,"QUETIAPINE_TAB.100MG","5","0.01"
"513","45",20,5,"QUETIAPINE_TAB.300MG","5","0.01"
"24","43",20,1,"J22X_UNSPECIFIED.ACUTE.LOWER.RESPIRATORY.INFECTION","6","0.02"
"146","43",20,2,"AMOXICILLIN_CAP.500MG","6","0.02"
"268","43",20,3,"Z824_F.H.OF.IHD.AND.OTHER.DISEASES.OF.THE.CIRCULATORY.SYSTEM","5","0.01"
"390","43",20,4,"R060_DYSPNOEA","4","0"
"512","43",20,5,"Z720_TOBACCO.USE","4","0.01"
"23","42",20,1,"K210_GASTRO.OESOPHAGEAL.REFLUX.DISEASE.WITH.OESOPHAGITIS","10","0.02"
"145","42",20,2,"K20X_OESOPHAGITIS","5","0.01"
"267","42",20,3,"K219_GASTRO.OESOPHAGEAL.REFLUX.DISEASE.WITHOUT.OESOPHAGITIS","4","0.01"
"389","42",20,4,"K449_DIAPHRAGMATIC.HERNIA.WITHOUT.OBSTRUCTION.OR.GANGRENE","4","0"
"511","42",20,5,"CIPROFLOXACIN_TAB.250MG","4","0.01"
"22","20",20,1,"G409_EPILEPSY..UNSPECIFIED","10","0.02"
"144","20",20,2,"mc_epilepsy_seizures","5","0.01"
"266","20",20,3,"R568_OTHER.AND.UNSPECIFIED.CONVULSIONS","5","0.01"
"388","20",20,4,"NICORETTE_QUICKMIST.OROMUCOSAL.P.SPY","5","0.02"
"510","20",20,5,"AIROMIR_AUTOHALER.100MCG..200.D..CFF","4","0.01"
"28","84",19,1,"PEPTAC_LIQ..ANISEED..S.F","6","0.01"
"150","84",19,2,"BROLENE_EYE.DPS.0.1.","5","0.01"
"272","84",19,3,"LYMECYCLINE_CAP.408MG","4","0"
"394","84",19,4,"GLYCEROL.LEM.HONEY...GLUCOSE_SYR","4","0.01"
"516","84",19,5,"MIGRALEVE.COMPLETE_TAB","3","0"
"27","75",19,1,"MST.CONTINUS_TAB.10MG","7","0.02"
"149","75",19,2,"ORAMORPH_ORAL.SOLN.10MG.5ML","5","0.01"
"271","75",19,3,"CAPASAL_THERAPEUTIC.SHAMPOO","4","0.01"
"393","75",19,4,"MST.CONTINUS_TAB.30MG","4","0"
"515","75",19,5,"POLYTAR_LIQ","3","0"
"26","59",19,1,"DOMPERIDONE_TAB.10MG","7","0.02"
"148","59",19,2,"PEPTAC_LIQ..PEPPERMINT..S.F","5","0.02"
"270","59",19,3,"ESOMEPRAZOLE_TAB.E.C.40MG","4","0.01"
"392","59",19,4,"FORTISIP.BOTTLE_LIQ..8.FLAV.","4","0.01"
"514","59",19,5,"R33X_RETENTION.OF.URINE","3","0.01"
"29","37",18,1,"VENLAFAXINE_CAP.75MG.M.R","7","0.02"
"151","37",18,2,"TRANEXAMIC.ACID_TAB.500MG","4","0.01"
"273","37",18,3,"FLUCLOX.SOD_CAP.250MG","3","0"
"395","37",18,4,"VENLAFAXINE_TAB.37.5MG","3","0"
"517","37",18,5,"BECONASE_AQ.NSL.SPY.50MCG..200.D..22G","3","0"
"31","41",17,1,"W279_CONTACT.WITH.NONPOWERED.HAND.TOOL.IN.UNSPECIFIED.PLACE","9","0.03"
"153","41",17,2,"L024_CUTANEOUS.ABSCESS..FURUNCLE.AND.CARBUNCLE.OF.LIMB","7","0.01"
"275","41",17,3,"L031_CELLULITIS.OF.OTHER.PARTS.OF.LIMB","5","0.01"
"397","41",17,4,"F131_MENTAL.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.SEDATIVES.OR.HYPNOTICS","5","0.01"
"519","41",17,5,"F111_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.OPIOIDS","4","0.01"
"30","13",17,1,"GABAPENTIN_CAP.300MG","9","0.02"
"152","13",17,2,"td_gabapentin","8","0.01"
"274","13",17,3,"op_amitriptyline","7","0.01"
"396","13",17,4,"TRAMADOL.HCL_CAP.50MG","7","0.02"
"518","13",17,5,"op_tramadol","4","0"
"35","58",16,1,"K703_ALCOHOLIC.CIRRHOSIS.OF.LIVER","8","0.02"
"157","58",16,2,"K766_PORTAL.HYPERTENSION","6","0.02"
"279","58",16,3,"REMEDEINE.FTE_TAB","4","0.01"
"401","58",16,4,"I859_OESOPHAGEAL.VARICES.WITHOUT.BLEEDING","3","0"
"523","58",16,5,"PARACET.DIHYDROCODEINE_TAB.500MG.20MG","3","0"
"34","44",16,1,"L97X_ULCER.OF.LOWER.LIMB..NOT.ELSEWHERE.CLASSIFIED","5","0.01"
"156","44",16,2,"INADINE.9.5CM.X.9.5.CM.POVIDONE.IODINE.FABRIC.DRESS.STER","5","0.01"
"278","44",16,3,"MEPORE.10CM.X.11CM.PFA...ADH.BORDER.DRESS","4","0.01"
"400","44",16,4,"CO.CODAMOL.EFF_TAB.8MG.500MG","4","0.01"
"522","44",16,5,"LAXIDO_ORAL.PDR.SACH..ORANGE..S.F","4","0.01"
"33","10",16,1,"op_mirtazapine","8","0.01"
"155","10",16,2,"td_pregabalin","8","0.01"
"277","10",16,3,"op_zopiclone","7","0.01"
"399","10",16,4,"op_gabapentin","6","0.01"
"521","10",16,5,"op_pregabalin","6","0.01"
"32","1",16,1,"cha_prison_healthcare","10","0.01"
"154","1",16,2,"sod_naloxone_take_home","7","0.01"
"276","1",16,3,"cha_harm_reduction_team","4","0"
"398","1",16,4,"cha_needle_exchange","4","0"
"520","1",16,5,"idu_legal_highs_new_psychoactive_substances","4","0"
"39","85",15,1,"METHADONE.HCL_MIX.1MG.1ML","10","0.09"
"161","85",15,2,"PARACET_TAB.500MG","7","0.03"
"283","85",15,3,"CO.CODAMOL_TAB.30MG.500MG","6","0.01"
"405","85",15,4,"DICLOFENAC.SOD_TAB.E.C.50MG","5","0.02"
"527","85",15,5,"IBUPROFEN_TAB.400MG","5","0.02"
"38","83",15,1,"PREDNISOLONE_TAB.5MG","6","0.02"
"160","83",15,2,"FYBOGEL_GRAN.SACH.3.5G.ORANGE.G.F.S.F","6","0.01"
"282","83",15,3,"ERYTHROMYCIN_TAB.E.C.250MG","5","0.01"
"404","83",15,4,"PREDNISOLONE_TAB.E.C.5MG","5","0.01"
"526","83",15,5,"CIPROFLOXACIN_TAB.500MG","4","0.01"
"37","74",15,1,"DIORALYTE_PDR.SACH..BLKCURRANT.","5","0.02"
"159","74",15,2,"DIHYDROCODEINE.TART_TAB.120MG.M.R","4","0.01"
"281","74",15,3,"PROCHLPZINE.MAL_TAB.BUCCAL.3MG","3","0.01"
"403","74",15,4,"DIHYDROCODEINE.TART_TAB.90MG.M.R","3","0.01"
"525","74",15,5,"OXYNORM_CAP.5MG","3","0.01"
"36","27",15,1,"CITALOPRAM.HYDROB_TAB.10MG","6","0.01"
"158","27",15,2,"CITALOPRAM.HYDROB_TAB.20MG","6","0.01"
"280","27",15,3,"CITALOPRAM.HYDROB_TAB.40MG","4","0"
"402","27",15,4,"PRECONCEIVE_FOLIC.ACID.TAB.400MCG","4","0.01"
"524","27",15,5,"td_citalopram","3","0"
"42","64",14,1,"DERMOL.600_BATH.EMOLLIENT","5","0.01"
"164","64",14,2,"DOVOBET_OINT.0.005..0.05.","4","0"
"286","64",14,3,"OILATUM_EMOLLIENT","3","0.01"
"408","64",14,4,"FEXOFENADINE.HCL_TAB.120MG","3","0"
"530","64",14,5,"Z048_EXAMINATION.AND.OBSERVATION.FOR.OTHER.SPECIFIED.REASONS","2","0.01"
"41","48",14,1,"T401_POISONING.BY.HEROIN","9","0.03"
"163","48",14,2,"T402_POISONING.BY.OTHER.OPIOIDS","8","0.03"
"285","48",14,3,"X429_ACC.POISONING.BY.NARCOTICS.PSYCHODYSLEPTICS.NEC.IN.UNSPECIFIED.PLACE","8","0.01"
"407","48",14,4,"X620_INTENT.SELF.POISONING.BY.EXPOSURE.TO.NARCOTICS.PSYCHODYSLEPTICS.AT.HOME","8","0.02"
"529","48",14,5,"T403_POISONING.BY.METHADONE","7","0"
"40","25",14,1,"K861_OTHER.CHRONIC.PANCREATITIS","7","0.02"
"162","25",14,2,"K860_ALCOHOL.INDUCED.CHRONIC.PANCREATITIS","5","0.01"
"284","25",14,3,"K292_ALCOHOLIC.GASTRITIS","4","0.01"
"406","25",14,4,"K297_GASTRITIS..UNSPECIFIED","3","0"
"528","25",14,5,"K85X_ACUTE.PANCREATITIS","3","0"
"53","97",13,1,"DIPROBASE_CRM","5","0.01"
"175","97",13,2,"EUMOVATE_CRM.0.05.","4","0.01"
"297","97",13,3,"CLOBET.BUT_CRM.0.05.","4","0.01"
"419","97",13,4,"IMPLANON_IMPLANT.68MG","4","0.01"
"541","97",13,5,"OPTICROM_ALLERGY.EYE.DPS.2.","3","0.01"
"52","89",13,1,"OMEPRAZOLE_CAP.E.C.20MG","6","0.04"
"174","89",13,2,"BETNOVATE_SCALP.APPLIC.0.1.","4","0"
"296","89",13,3,"TYROZETS_LOZ","3","0.01"
"418","89",13,4,"KETOCONAZOLE_SHAMPOO.2.","3","0.01"
"540","89",13,5,"ZOVIRAX_COLD.SORE.CRM.5.","3","0.01"
"51","82",13,1,"CETIRIZINE.HCL_TAB.10MG","9","0.01"
"173","82",13,2,"MOMETASONE.FUR_AQ.N.SPY.50MCG..140.D.","8","0.02"
"295","82",13,3,"CHLORPHENAMINE.MAL_TAB.4MG","3","0"
"417","82",13,4,"LORATADINE_TAB.10MG","3","0"
"539","82",13,5,"DOUBLEBASE_GEL","3","0.01"
"50","68",13,1,"ORLISTAT_CAP.120MG","5","0.01"
"172","68",13,2,"RAMIPRIL_CAP.5MG","4","0.01"
"294","68",13,3,"XENICAL_CAP.120MG","3","0"
"416","68",13,4,"LISINOPRIL_TAB.10MG","3","0"
"538","68",13,5,"NEFOPAM.HCL_TAB.30MG","3","0"
"49","67",13,1,"TRIMETHOPRIM_TAB.200MG","6","0.02"
"171","67",13,2,"NITROFURANTOIN_CAP.50MG","6","0.02"
"293","67",13,3,"MACRODANTIN_CAP.50MG","6","0.02"
"415","67",13,4,"MACROBID_CAP.100MG","4","0.01"
"537","67",13,5,"CEFALEXIN_CAP.250MG","4","0.01"
"48","53",13,1,"CHLORHEX.GLUCON_MTHWSH.0.2.","7","0.02"
"170","53",13,2,"MICONAZOLE_OROMUCOSAL.GEL.20MG.G.S.F","5","0.01"
"292","53",13,3,"VOLUMATIC","4","0.01"
"414","53",13,4,"G403_GENERALIZED.IDIOPATHIC.EPILEPSY.AND.EPILEPTIC.SYNDROMES","3","0"
"536","53",13,5,"DIAZEPAM_TAB.2MG","3","0.01"
"47","46",13,1,"FUROSEMIDE_TAB.40MG","5","0.01"
"169","46",13,2,"SPIRONOL_TAB.100MG","5","0"
"291","46",13,3,"K709_ALCOHOLIC.LIVER.DISEASE..UNSPECIFIED","4","0.01"
"413","46",13,4,"R945_ABNORMAL.RESULTS.OF.LIVER.FUNCTION.STUDIES","3","0"
"535","46",13,5,"R17X_UNSPECIFIED.JAUNDICE","3","0"
"46","29",13,1,"R103_PAIN.LOCALIZED.TO.OTHER.PARTS.OF.LOWER.ABDOMEN","5","0.01"
"168","29",13,2,"Z032_OBSERVATION.FOR.SUSPECTED.MENTAL.AND.BEHAVIOURAL.DISORDERS","5","0.01"
"290","29",13,3,"F155_PSYCHOTIC.DISORDER.DUE.TO.USE.OF.OTHER.STIMULANTS.INCLUDING.CAFFEINE","4","0.01"
"412","29",13,4,"pc_drug_or_alcohol_psychosis","3","0.01"
"534","29",13,5,"td_fluoxetine","3","0"
"45","21",13,1,"N179_ACUTE.RENAL.FAILURE..UNSPECIFIED","8","0.02"
"167","21",13,2,"K318_OTHER.SPECIFIED.DISEASES.OF.STOMACH.AND.DUODENUM","4","0.01"
"289","21",13,3,"EPILIM.CHRONO.500_TAB.500MG.C.R","4","0"
"411","21",13,4,"E86X_VOLUME.DEPLETION","3","0"
"533","21",13,5,"E876_HYPOKALAEMIA","3","0"
"44","17",13,1,"METFORMIN.HCL_TAB.500MG","6","0.01"
"166","17",13,2,"mc_diabetes","4","0"
"288","17",13,3,"E109_TYPE.1.DIABETES.MELLITUS.WITHOUT.COMPLICATIONS","4","0"
"410","17",13,4,"R53X_MALAISE.AND.FATIGUE","3","0"
"532","17",13,5,"E119_TYPE.2.DIABETES.MELLITUS.WITHOUT.COMPLICATIONS","3","0"
"43","16",13,1,"mc_hepatitis_c","10","0.01"
"165","16",13,2,"F112_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.DEPENDENT.USE.OF.OPIOIDS","8","0.06"
"287","16",13,3,"B182_CHRONIC.VIRAL.HEPATITIS.C","6","0.01"
"409","16",13,4,"Z225_CARRIER.OF.VIRAL.HEPATITIS","5","0.01"
"531","16",13,5,"B171_ACUTE.HEPATITIS.C","4","0.01"
"57","87",12,1,"MOMETASONE.FUR_CRM.0.1.","4","0.01"
"179","87",12,2,"BETNOVATE_CRM.0.1.","3","0.01"
"301","87",12,3,"BETAMETH.VAL_CRM.0.1.","3","0.01"
"423","87",12,4,"LYCLEAR_DERMAL.CRM.5.","2","0"
"545","87",12,5,"HYDROXYZINE.HCL_TAB.10MG","2","0"
"56","61",12,1,"DICYCLOVERINE.HCL_TAB.20MG","5","0.01"
"178","61",12,2,"Z038_OBSERVATION.FOR.OTHER.SUSPECTED.DISEASES.AND.CONDITIONS","4","0.03"
"300","61",12,3,"R440_AUDITORY.HALLUCINATIONS","4","0.01"
"422","61",12,4,"HYOSCINE.BUTYLBROM_TAB.10MG","4","0.01"
"544","61",12,5,"BUSCOPAN_TAB.10MG","3","0.01"
"55","39",12,1,"F1025_ALCOHOL.DEPENDENCE.SYNDROME..CONTINUOUS.USE","6","0.01"
"177","39",12,2,"GAVISCON.ADVANCE_LIQ..ANISEED..S.F","6","0.01"
"299","39",12,3,"GAVISCON_LIQ.ORIG.ANISEED.RELIEF","5","0.01"
"421","39",12,4,"F1030_ALCOHOL.WITHDRAWAL.STATE..UNCOMPLICATED","4","0.01"
"543","39",12,5,"GAVISCON.ADVANCE_LIQ..PEPPERMINT..S.F","4","0"
"54","8",12,1,"F102_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ALCOHOL.DEPENDENCE.SYNDROME","11","0.07"
"176","8",12,2,"aa_no_known_treatment","7","0.02"
"298","8",12,3,"edu_alcohol_consumption","4","0"
"420","8",12,4,"td_alcohol","4","0.01"
"542","8",12,5,"F101_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.ALCOHOL","4","0.01"
"61","62",11,1,"F239_ACUTE.AND.TRANSIENT.PSYCHOTIC.DISORDER..UNSPECIFIED","5","0.01"
"183","62",11,2,"RISPERIDONE_TAB.1MG","4","0"
"305","62",11,3,"RISPERIDONE_TAB.2MG","3","0"
"427","62",11,4,"RISPERIDONE_TAB.3MG","3","0.01"
"549","62",11,5,"F192_MENTAL.BEHAV.DISORDERS.DUE.TO.DEPNDENT.USE.OF.MULT.DRUGS.PSYCHOACT.SUBS","2","0"
"60","51",11,1,"ADCAL.D3_TAB.CHBLE..TUTTI.FRUTTI.","5","0.02"
"182","51",11,2,"R194_CHANGE.IN.BOWEL.HABIT","4","0.01"
"304","51",11,3,"MORPH.SULF_ORAL.SOLN.10MG.5ML","3","0.01"
"426","51",11,4,"VERSATIS_MEDIC.PLASTR.5.","3","0.01"
"548","51",11,5,"SILDENAFIL_TAB.100MG","3","0"
"59","40",11,1,"W109_FALL.ON.AND.FROM.STAIRS.AND.STEPS.IN.UNSPECIFIED.PLACE","4","0"
"181","40",11,2,"S9200_CLOSED.FRACTURE.OF.CALCANEUS","3","0"
"303","40",11,3,"S0650_TRAUMATIC.SUBDURAL.HAEMORRHAGE.WITHOUT.OPEN.INTRACRANIAL.WOUND","3","0"
"425","40",11,4,"W179_OTHER.FALL.FROM.ONE.LEVEL.TO.ANOTHER.IN.UNSPECIFIED.PLACE","3","0"
"547","40",11,5,"S5250_CLOSED.FRACTURE.OF.LOWER.END.OF.RADIUS","3","0"
"58","33",11,1,"TRAMADOL.HCL_CAP.100MG.M.R","4","0.01"
"180","33",11,2,"R31X_UNSPECIFIED.HAEMATURIA","3","0.01"
"302","33",11,3,"M5499_DORSALGIA..UNSPECIFIED..SITE.UNSPECIFIED.","3","0"
"424","33",11,4,"F130_MENTAL.BEHAVIOURAL.DISORDERS.DUE.TO.ACUTE.INTOX.WITH.SEDATIVE.OR.HYPNOTICS","3","0.01"
"546","33",11,5,"ZYDOL.SR_TAB.100MG","3","0.01"
"63","93",10,1,"NICORETTE.INVISI_PATCH.25MG.16HRS","4","0.01"
"185","93",10,2,"NICOTINELL.TTS.30_PATCH.21MG.24HRS","4","0.01"
"307","93",10,3,"NICORETTE_INHALATOR...INH.CART.10MG","3","0.01"
"429","93",10,4,"NIQUITIN_PATCH.21MG.24HRS..STEP.1.","3","0"
"551","93",10,5,"NIQUITIN.CLR_PATCH.21MG.24HRS.STEP.1.","3","0"
"62","60",10,1,"CHLORPROMAZINE.HCL_TAB.50MG","6","0.01"
"184","60",10,2,"CHLORPROMAZINE.HCL_TAB.25MG","5","0.02"
"306","60",10,3,"T427_POISONING.BY.ANTIEPILEPTIC...SEDATIVE.HYPNOTIC.DRUGS..UNSPEC","4","0.01"
"428","60",10,4,"R410_DISORIENTATION..UNSPECIFIED","3","0"
"550","60",10,5,"R268_OTHER.AND.UNSPECIFIED.ABNORMALITIES.OF.GAIT.AND.MOBILITY","2","0"
"64","107",9,1,"PREGABALIN_CAP.200MG","5","0.01"
"186","107",9,2,"PREGABALIN_CAP.100MG","4","0.01"
"308","107",9,3,"LYRICA_CAP.100MG","3","0"
"430","107",9,4,"LYRICA_CAP.50MG","3","0"
"552","107",9,5,"PREGABALIN_CAP.50MG","3","0"
"65","19",8,1,"F603_EMOTIONALLY.UNSTABLE.PERSONALITY.DISORDER","6","0.01"
"187","19",8,2,"pc_personality_disorder","5","0.01"
"309","19",8,3,"F6031_EMOTIONALLY.UNSTABLE.PERSONALITY.DISORDER.BORDERLINE.TYPE","5","0"
"431","19",8,4,"F431_POST.TRAUMATIC.STRESS.DISORDER","4","0"
"553","19",8,5,"F609_PERSONALITY.DISORDER..UNSPECIFIED","3","0"
"66","94",6,1,"VARENICLINE.TART_TAB.1MG","5","0.01"
"188","94",6,2,"CHAMPIX_TAB.1MG","3","0"
"310","94",6,3,"CHAMPIX_2WK.TT.INIT.PACK..TAB.0.5MG.1MG.","2","0"
"432","94",6,4,"VARENICLINE.TART_2WK.INIT.TAB.0.5MG.1MG.","2","0"
"554","94",6,5,"CHAMPIX_TITRATION.PACK..TAB.0.5MG.1MG.","2","0"
"68","88",5,1,"SALBUTAMOL_INHA.200MCG..100D.","2","0"
