"Subsystem","Number.of.factors","variable","factor","degree","betweenness","community","Label","Group"
23,3,2,"td_dothiepin",1,0,23,"Antidepressant Dosulepin","Distinct condition"
23,3,3,"DOSULEPIN.HCL_CAP.25MG",1,0,23,"Antidepressant Dosulepin","Distinct condition"
23,3,4,NA,NA,NA,23,"Antidepressant Dosulepin","Distinct condition"
23,3,5,NA,NA,NA,23,"Antidepressant Dosulepin","Distinct condition"
4,3,1,"chnd_employability_services",2,0,4,"Employment","Distinct condition"
4,3,2,"rse_debt",1,0,4,"Employment","Distinct condition"
4,3,3,"es_support_into_employment",1,0,4,"Employment","Distinct condition"
4,3,4,NA,NA,NA,4,"Employment","Distinct condition"
4,3,5,NA,NA,NA,4,"Employment","Distinct condition"
2,3,1,"rse_childcustodyissues",2,0,2,"Child custody","Distinct condition"
2,3,2,"rse_lossofchildcustody",1,0,2,"Child custody","Distinct condition"
2,3,3,"rse_childcustodyhearings",1,0,2,"Child custody","Distinct condition"
2,3,4,NA,NA,NA,2,"Child custody","Distinct condition"
2,3,5,NA,NA,NA,2,"Child custody","Distinct condition"
65,2,1,"CELEBREX_CAP.100MG",1,0,65,"Anti inflammatory","Distinct condition"
65,2,2,"CELECOXIB_CAP.100MG",1,0,65,"Anti inflammatory","Distinct condition"
65,2,3,NA,NA,NA,65,"Anti inflammatory","Distinct condition"
65,2,4,NA,NA,NA,65,"Anti inflammatory","Distinct condition"
65,2,5,NA,NA,NA,65,"Anti inflammatory","Distinct condition"
64,2,1,"BUPRENORPHINE_TAB.SUBLING.2MG.S.F",1,0,64,"Buprenorphine","Substance use related"
64,2,2,"BUPRENORPHINE_TAB.SUBLING.8MG.S.F",1,0,64,"Buprenorphine","Substance use related"
64,2,3,NA,NA,NA,64,"Buprenorphine","Substance use related"
64,2,4,NA,NA,NA,64,"Buprenorphine","Substance use related"
64,2,5,NA,NA,NA,64,"Buprenorphine","Substance use related"
63,2,1,"MOTILIUM.10_TAB.10MG",1,0,63,"Nausea tablets","Distinct condition"
63,2,2,"BUCCASTEM.M_TAB.3MG",1,0,63,"Nausea tablets","Distinct condition"
63,2,3,NA,NA,NA,63,"Nausea tablets","Distinct condition"
63,2,4,NA,NA,NA,63,"Nausea tablets","Distinct condition"
63,2,5,NA,NA,NA,63,"Nausea tablets","Distinct condition"
62,2,1,"IBUPROFEN_TAB.600MG",1,0,62,"Skin cream and ibuprofen","Co-occurring conditions"
62,2,2,"DERMOVATE_OINT.0.05.",1,0,62,"Skin cream and ibuprofen","Co-occurring conditions"
62,2,3,NA,NA,NA,62,"Skin cream and ibuprofen","Co-occurring conditions"
62,2,4,NA,NA,NA,62,"Skin cream and ibuprofen","Co-occurring conditions"
62,2,5,NA,NA,NA,62,"Skin cream and ibuprofen","Co-occurring conditions"
61,2,1,"DERMOL.200_SHOWER.EMOLLIENT",1,0,61,"Dermol shower cream","Distinct condition"
61,2,2,"DERMOL_CRM",1,0,61,"Dermol shower cream","Distinct condition"
61,2,3,NA,NA,NA,61,"Dermol shower cream","Distinct condition"
61,2,4,NA,NA,NA,61,"Dermol shower cream","Distinct condition"
61,2,5,NA,NA,NA,61,"Dermol shower cream","Distinct condition"
60,2,1,"ALGESAL_CRM.10.",1,0,60,"Magnesium sulphate paste","Distinct condition"
60,2,2,"MAG.SULF_PASTE",1,0,60,"Magnesium sulphate paste","Distinct condition"
60,2,3,NA,NA,NA,60,"Magnesium sulphate paste","Distinct condition"
60,2,4,NA,NA,NA,60,"Magnesium sulphate paste","Distinct condition"
60,2,5,NA,NA,NA,60,"Magnesium sulphate paste","Distinct condition"
58,2,1,"LEVETIRACETAM_TAB.500MG",1,0,58,"Levetiracetam - Epilepsy","Distinct condition"
58,2,2,"LEVETIRACETAM_TAB.250MG",1,0,58,"Levetiracetam - Epilepsy","Distinct condition"
58,2,3,NA,NA,NA,58,"Levetiracetam - Epilepsy","Distinct condition"
58,2,4,NA,NA,NA,58,"Levetiracetam - Epilepsy","Distinct condition"
58,2,5,NA,NA,NA,58,"Levetiracetam - Epilepsy","Distinct condition"
57,2,1,"NAPROXEN_TAB.250MG",1,0,57," Naproxen painkiller","Distinct condition"
57,2,2,"NAPROXEN_TAB.E.C.250MG",1,0,57," Naproxen painkiller","Distinct condition"
57,2,3,NA,NA,NA,57," Naproxen painkiller","Distinct condition"
57,2,4,NA,NA,NA,57," Naproxen painkiller","Distinct condition"
57,2,5,NA,NA,NA,57," Naproxen painkiller","Distinct condition"
55,2,1,"PROCTOSEDYL_OINT",1,0,55,"Proctosedyl haemorrhoids","Distinct condition"
55,2,2,"PROCTOSEDYL_SUPPOS",1,0,55,"Proctosedyl haemorrhoids","Distinct condition"
55,2,3,NA,NA,NA,55,"Proctosedyl haemorrhoids","Distinct condition"
55,2,4,NA,NA,NA,55,"Proctosedyl haemorrhoids","Distinct condition"
55,2,5,NA,NA,NA,55,"Proctosedyl haemorrhoids","Distinct condition"
54,2,1,"NICORETTE_PATCH.15MG.16HRS",1,0,54,"Nicotine patches","Distinct condition"
54,2,2,"NICORETTE_PATCH.10MG.16HRS",1,0,54,"Nicotine patches","Distinct condition"
54,2,3,NA,NA,NA,54,"Nicotine patches","Distinct condition"
54,2,4,NA,NA,NA,54,"Nicotine patches","Distinct condition"
54,2,5,NA,NA,NA,54,"Nicotine patches","Distinct condition"
51,2,1,"DALTEPARIN.SOD_INJ.25.000U.ML.0.5ML.PFS",1,0,51,"Blood clot prevention","Distinct condition"
51,2,2,"FRAGMIN_INJ.25.000U.ML.0.5ML.PFS",1,0,51,"Blood clot prevention","Distinct condition"
51,2,3,NA,NA,NA,51,"Blood clot prevention","Distinct condition"
51,2,4,NA,NA,NA,51,"Blood clot prevention","Distinct condition"
51,2,5,NA,NA,NA,51,"Blood clot prevention","Distinct condition"
48,2,1,"FUSIDIC.ACID_CRM.2.",1,0,48,"Fucidin antibiotic cream","Distinct condition"
48,2,2,"FUCIDIN.H_CRM",1,0,48,"Fucidin antibiotic cream","Distinct condition"
48,2,3,NA,NA,NA,48,"Fucidin antibiotic cream","Distinct condition"
48,2,4,NA,NA,NA,48,"Fucidin antibiotic cream","Distinct condition"
48,2,5,NA,NA,NA,48,"Fucidin antibiotic cream","Distinct condition"
42,2,1,"R298_OTHER...UNSPEC.SYMPTOMS...SIGNS.INVOLVING.THE.NERVOUS...MUSCULOSKEL.SYST",1,0,42,"Musculoskeletal/Skin","Co-occurring conditions"
42,2,2,"R202_PARAESTHESIA.OF.SKIN",1,0,42,"Musculoskeletal/Skin","Co-occurring conditions"
42,2,3,NA,NA,NA,42,"Musculoskeletal/Skin","Co-occurring conditions"
42,2,4,NA,NA,NA,42,"Musculoskeletal/Skin","Co-occurring conditions"
42,2,5,NA,NA,NA,42,"Musculoskeletal/Skin","Co-occurring conditions"
41,2,1,"N832_OTHER.AND.UNSPECIFIED.OVARIAN.CYSTS",1,0,41,"Ovarian cysts","Distinct condition"
41,2,2,"N939_ABNORMAL.UTERINE.AND.VAGINAL.BLEEDING..UNSPECIFIED",1,0,41,"Ovarian cysts","Distinct condition"
41,2,3,NA,NA,NA,41,"Ovarian cysts","Distinct condition"
41,2,4,NA,NA,NA,41,"Ovarian cysts","Distinct condition"
41,2,5,NA,NA,NA,41,"Ovarian cysts","Distinct condition"
40,2,1,"M950_ACQUIRED.DEFORMITY.OF.NOSE",1,0,40,"Deviated septum","Distinct condition"
40,2,2,"J342_DEVIATED.NASAL.SEPTUM",1,0,40,"Deviated septum","Distinct condition"
40,2,3,NA,NA,NA,40,"Deviated septum","Distinct condition"
40,2,4,NA,NA,NA,40,"Deviated septum","Distinct condition"
40,2,5,NA,NA,NA,40,"Deviated septum","Distinct condition"
31,2,1,"K011_IMPACTED.TEETH",1,0,31,"Dental issues","Distinct condition"
31,2,2,"K029_DENTAL.CARIES..UNSPECIFIED",1,0,31,"Dental issues","Distinct condition"
31,2,3,NA,NA,NA,31,"Dental issues","Distinct condition"
31,2,4,NA,NA,NA,31,"Dental issues","Distinct condition"
31,2,5,NA,NA,NA,31,"Dental issues","Distinct condition"
30,2,1,"Z722_DRUG.USE",1,0,30,"Fall and drug use noted at hospital","Substance use related"
30,2,2,"W019_FALL.ON.SAME.LEVEL.BY.SLIPPING.TRIPPING.STUMBLING.IN.UNPEC..PLACE",1,0,30,"Fall and drug use noted at hospital","Substance use related"
30,2,3,NA,NA,NA,30,"Fall and drug use noted at hospital","Substance use related"
30,2,4,NA,NA,NA,30,"Fall and drug use noted at hospital","Substance use related"
30,2,5,NA,NA,NA,30,"Fall and drug use noted at hospital","Substance use related"
27,2,1,"E669_OBESITY..UNSPECIFIED",1,0,27,"Obesity","Distinct condition"
27,2,2,"BD.MICROFINE..NEEDLES.PEN.INJ.SCREW.ON.8MM",1,0,27,"Obesity","Distinct condition"
27,2,3,NA,NA,NA,27,"Obesity","Distinct condition"
27,2,4,NA,NA,NA,27,"Obesity","Distinct condition"
27,2,5,NA,NA,NA,27,"Obesity","Distinct condition"
16,2,1,"mc_no_known_medical_conditions",1,0,16,"No known conditions","Distinct condition"
16,2,2,"pc_no_known_psychiatric_conditions",1,0,16,"No known conditions","Distinct condition"
16,2,3,NA,NA,NA,16,"No known conditions","Distinct condition"
16,2,4,NA,NA,NA,16,"No known conditions","Distinct condition"
16,2,5,NA,NA,NA,16,"No known conditions","Distinct condition"
15,2,1,"mc_migraine_headaches",1,0,15,"Migraine","Distinct condition"
15,2,2,"SUMATRIPTAN_TAB.50MG",1,0,15,"Migraine","Distinct condition"
15,2,3,NA,NA,NA,15,"Migraine","Distinct condition"
15,2,4,NA,NA,NA,15,"Migraine","Distinct condition"
15,2,5,NA,NA,NA,15,"Migraine","Distinct condition"
14,2,1,"mc_learning_disability",1,0,14,"Learning disability, ADD","Distinct condition"
14,2,2,"pc_a_dhd_add",1,0,14,"Learning disability, ADD","Distinct condition"
14,2,3,NA,NA,NA,14,"Learning disability, ADD","Distinct condition"
14,2,4,NA,NA,NA,14,"Learning disability, ADD","Distinct condition"
14,2,5,NA,NA,NA,14,"Learning disability, ADD","Distinct condition"
8,2,1,"lw_prison",1,0,8,"Prison","Distinct condition"
